epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,guide,diversity,total,hit_rate,lr
1,2.12588812,0.60253425,0.30217087,0.65870098,0.02287666,-1.26624437,0.02374625,1.50880090,0.05866096,0.00100000
2,0.79403655,0.38784574,0.68163515,0.80943627,0.01258291,-1.27224401,0.01514022,-0.06263859,0.05545968,0.00099975
3,0.57158724,0.28866348,0.76663165,0.86370798,0.01103836,-1.27572688,0.01244427,-0.39199353,0.05896108,0.00099901
4,0.43143758,0.20597973,0.82291667,0.90721289,0.00993455,-1.28349677,0.00551287,-0.63063204,0.05998649,0.00099778
5,0.33451001,0.14731603,0.86484594,0.93706232,0.00911828,-1.28661105,0.00406504,-0.79160170,0.06348790,0.00099606
6,0.30586455,0.13206845,0.87508754,0.94546569,0.00860429,-1.28794879,0.00243437,-0.83897713,0.06183723,0.00099384
7,0.26744121,0.10876776,0.89066877,0.95448179,0.00831566,-1.28824726,0.00503537,-0.89868725,0.06470088,0.00099114
8,0.23945482,0.08852224,0.89714636,0.96279762,0.00779185,-1.28983342,0.00208768,-0.95197683,0.06343788,0.00098796
9,0.24380935,0.08481066,0.90047269,0.96463585,0.00779921,-1.28828781,0.00354293,-0.94832566,0.06362545,0.00098429
10,0.20151857,0.05854631,0.91587885,0.97514006,0.00720930,-1.29120066,0.00093656,-1.02298992,0.06435074,0.00098015
11,0.20258216,0.07056734,0.91088936,0.97181373,0.00721072,-1.29108866,0.00085223,-1.00987621,0.06475090,0.00097553
12,0.18825674,0.05500348,0.91876751,0.97750350,0.00681151,-1.29218049,0.00058829,-1.04152047,0.06558874,0.00097044
13,0.18527134,0.05811320,0.92121849,0.97820378,0.00682988,-1.29157984,0.00097874,-1.04038669,0.06511355,0.00096489
14,0.16697756,0.04106055,0.92813375,0.98328081,0.00643453,-1.29292175,0.00041623,-1.07803288,0.06581383,0.00095888
15,0.16777213,0.03818959,0.92892157,0.98476891,0.00642197,-1.29226148,0.00046246,-1.07941533,0.06496349,0.00095241
16,0.17171000,0.04737820,0.92848389,0.98258053,0.00659913,-1.29192937,0.00070484,-1.06553720,0.06440076,0.00094550
17,0.18388933,0.04786471,0.92366947,0.98231793,0.00692553,-1.29038327,0.00176215,-1.04994156,0.06411315,0.00093815
18,0.17138605,0.04396934,0.92795868,0.98345588,0.00663825,-1.29282783,0.00034147,-1.07049272,0.06395058,0.00093037
19,0.14297922,0.03045479,0.93461134,0.98739496,0.00587362,-1.29352281,0.00021730,-1.11399788,0.06548870,0.00092216
20,0.59192348,0.22497686,0.80409664,0.92323179,0.01163059,-1.24283237,0.03080695,-0.38349449,0.06242497,0.00091354
21,0.34488658,0.13652397,0.87211134,0.95010504,0.00980449,-1.25312438,0.05497418,-0.70693516,0.06089936,0.00090451
22,0.48097388,0.17177519,0.83648459,0.93986345,0.01040260,-1.26950759,0.04544248,-0.56091344,0.06543868,0.00089508
23,0.20270732,0.05818180,0.91526611,0.97864146,0.00783056,-1.28760011,0.01953044,-0.99935000,0.06550120,0.00088526
24,1.37336453,0.39389049,0.67533263,0.88121499,0.01362790,-1.19992842,0.05499748,0.63595198,0.06435074,0.00087506
25,1.62139413,0.45573503,0.56600140,0.83517157,0.01539359,-1.20610708,0.06080601,0.94722167,0.05916116,0.00086448
26,1.37659600,0.39148767,0.62570028,0.85145308,0.01424389,-1.21253026,0.03093272,0.60073001,0.05375900,0.00085355
27,0.24390305,0.07150579,0.90423669,0.97452731,0.00887819,-1.28513446,0.01054195,-0.95030548,0.06305022,0.00084227
28,0.16560438,0.04122839,0.92953431,0.98476891,0.00705796,-1.29077295,0.00380848,-1.07307375,0.06566377,0.00083066
29,0.15767821,0.03743898,0.93163515,0.98608193,0.00650605,-1.29152338,0.00336015,-1.08653998,0.06593888,0.00081871
30,0.13917293,0.02585997,0.93863796,0.98940826,0.00597805,-1.29288165,0.00173528,-1.12013542,0.06676421,0.00080645
31,0.14554762,0.02590955,0.93785014,0.98923319,0.00609246,-1.29253347,0.00209286,-1.11289098,0.06797719,0.00079389
32,0.15759102,0.03739223,0.93364846,0.98678221,0.00683725,-1.29174288,0.00255169,-1.08737069,0.06612645,0.00078104
33,0.13135502,0.02377280,0.93995098,0.99115896,0.00590710,-1.29341243,0.00117837,-1.13119914,0.06946529,0.00076791
34,0.12936152,0.01904868,0.94152661,0.99238445,0.00607256,-1.29290715,0.00255693,-1.13586746,0.06647659,0.00075452
35,0.12623169,0.01717807,0.94283964,0.99369748,0.00567325,-1.29363085,0.00121543,-1.14333241,0.06811475,0.00074088
36,0.11882938,0.01504340,0.94599090,0.99501050,0.00544920,-1.29384853,0.00120205,-1.15332450,0.06984044,0.00072700
37,0.13713752,0.02001559,0.94187675,0.99238445,0.00673262,-1.29013855,0.00174842,-1.12450441,0.06502601,0.00071289
38,0.11859179,0.01604584,0.94695378,0.99413515,0.00629309,-1.29238469,0.00105040,-1.15040357,0.06662665,0.00069857
