epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,recode,content,guide,void,diversity,total,hit_rate,lr
1,3.25451926,0.69149780,0.04125874,0.50935317,0.02635642,0.02841945,0.69088596,-1.28079642,-1.88987658,0.10689527,1.28245815,0.35911588,0.00100000
2,3.11613455,0.69634440,0.06442308,0.53234268,0.02047361,0.02036919,0.64901871,-1.27656480,-1.62580674,0.03819098,1.31365054,0.16051449,0.00099975
3,2.70093671,0.68547747,0.13435315,0.54991261,0.01909256,0.01920061,0.40930910,-1.27768886,-1.75048516,0.06918196,0.67036987,0.23753746,0.00099901
4,2.33605147,0.65878724,0.22360141,0.58540212,0.01742827,0.01798909,0.36153656,-1.28074025,-1.81119125,0.03635759,0.15545044,0.27403846,0.00099778
5,1.90353166,0.63293195,0.34143358,0.63076925,0.01608636,0.01682679,0.23109605,-1.28285969,-1.80703565,0.02670912,-0.37826143,0.28292957,0.00099606
6,1.47533527,0.60101315,0.46486016,0.67666086,0.01501175,0.01576094,0.33333709,-1.27561254,-1.77408805,0.01547098,-0.76043995,0.27271479,0.00099384
7,1.01610716,0.48471502,0.61538464,0.76966786,0.01369443,0.01418920,0.22360964,-1.28279375,-1.77944659,0.00901602,-1.41271370,0.29732767,0.00099114
8,0.75016987,0.36620036,0.71669583,0.84405598,0.01269432,0.01295056,0.17916684,-1.28436564,-1.78975700,0.00858475,-1.83393935,0.31478521,0.00098796
9,0.81187237,0.35048419,0.71005247,0.85192311,0.01248712,0.01251441,0.23350252,-1.28145547,-1.78767358,0.01103998,-1.75397972,0.30198551,0.00098429
10,0.59998459,0.24420458,0.76739513,0.89615388,0.01161544,0.01147726,0.20957563,-1.28088399,-1.80011699,0.01324706,-2.09568424,0.30744256,0.00098015
11,0.54843451,0.20347989,0.79055947,0.92019235,0.01138920,0.01115085,0.17481638,-1.28496938,-1.80784268,0.01514235,-2.21580706,0.32105395,0.00097553
12,0.46194016,0.17492794,0.82622381,0.93120633,0.01092924,0.01055073,0.20671450,-1.28238338,-1.82024310,0.01477227,-2.32614888,0.32094156,0.00097044
13,0.37066488,0.15025793,0.85786717,0.94108395,0.01060462,0.01014464,0.15816466,-1.28380807,-1.82598817,0.01263057,-2.47641127,0.32136613,0.00096489
14,0.35600787,0.15548583,0.86424829,0.94099654,0.01043903,0.00979567,0.20858082,-1.28296165,-1.83447646,0.01365067,-2.46776864,0.33266733,0.00095888
15,0.42761196,0.19373293,0.85393360,0.92639864,0.01059409,0.01000815,0.23215250,-1.28028558,-1.84184424,0.01833091,-2.34577554,0.32850899,0.00095241
16,0.39153236,0.20076079,0.85585668,0.91853151,0.01080627,0.01032012,0.18691228,-1.28212371,-1.88518127,0.02668937,-2.43373992,0.34801449,0.00094550
