epoch,letter_ce,case_ce,letter_acc,case_acc,recon_mse,recode,content,guide,void,diversity,total,hit_rate,lr
1,3.26166231,0.69430381,0.03741259,0.50673079,0.02546520,0.02714911,0.69418614,-1.27891965,-1.87443380,0.07495237,1.27727237,0.35168581,0.00100000
2,2.57544674,0.61052017,0.18540210,0.68024478,0.01883930,0.01938012,0.68841938,-1.27955715,-1.93167567,0.04174942,0.39891262,0.38145604,0.00099975
3,1.44724481,0.47392793,0.50332170,0.76739513,0.01704203,0.01767029,0.52562514,-1.27664323,-1.93627801,0.03468708,-0.95953655,0.36547203,0.00099901
4,0.76901939,0.32585657,0.72403849,0.85305947,0.01621939,0.01634741,0.34590391,-1.27795190,-1.93895740,0.03611924,-1.88039535,0.36886863,0.00099778
5,0.47165161,0.19876289,0.82945807,0.91835668,0.01584736,0.01549993,0.21500268,-1.28119819,-1.95559705,0.03932216,-2.38820995,0.39228272,0.00099606
6,0.33302313,0.12226670,0.88304199,0.94921332,0.01567764,0.01506590,0.17604472,-1.28162996,-1.95772416,0.03591123,-2.62938718,0.39685315,0.00099384
7,0.25261889,0.09234830,0.91809444,0.96346157,0.01536528,0.01458157,0.14919493,-1.28229436,-1.96073397,0.03258600,-2.76093082,0.39329421,0.00099114
8,0.19488577,0.07253493,0.93548955,0.97045457,0.01506212,0.01407888,0.18538065,-1.28037475,-1.96051029,0.03194258,-2.81969045,0.39542957,0.00098796
9,0.13945157,0.06180281,0.95253500,0.97482520,0.01350705,0.01249783,0.08429236,-1.28462362,-1.96250545,0.02864444,-2.94907921,0.39966284,0.00098429
10,0.14104468,0.06504406,0.95410842,0.97718534,0.01242598,0.01125879,0.10408071,-1.28489133,-1.96618173,0.02818132,-2.94107787,0.40317183,0.00098015
11,0.13574975,0.04820046,0.95437066,0.98216785,0.01198752,0.01072980,0.16734715,-1.28304493,-1.96710002,0.02965160,-2.93015225,0.39793956,0.00097553
12,0.11796426,0.04769704,0.96250003,0.98426575,0.01154375,0.01029124,0.15463388,-1.28173658,-1.97067753,0.02850608,-2.95909480,0.39577922,0.00097044
13,0.08581865,0.02602714,0.97097905,0.99090910,0.01086221,0.00952291,0.12582207,-1.28288048,-1.96953629,0.02801108,-3.02926375,0.40990260,0.00096489
14,0.11567950,0.05105182,0.96241262,0.98417834,0.01071704,0.00939765,0.08807270,-1.28531730,-1.97069468,0.02461670,-3.00051293,0.39630370,0.00095888
15,0.09000540,0.03569769,0.97132870,0.98767484,0.01058352,0.00910467,0.09751990,-1.28454466,-1.97221299,0.02700937,-3.03559708,0.39973776,0.00095241
16,0.06338674,0.02175366,0.97744758,0.99248253,0.00992386,0.00842302,0.08007583,-1.28490016,-1.97073739,0.02242941,-3.08968295,0.39039710,0.00094550
17,0.06747032,0.02159860,0.97753499,0.99309442,0.00973508,0.00825593,0.08017221,-1.28510038,-1.97423603,0.02167946,-3.09051093,0.38843656,0.00093815
18,0.05099667,0.02038578,0.98312939,0.99335665,0.00933919,0.00780471,0.07727256,-1.28541118,-1.97653194,0.02140105,-3.11337942,0.39569181,0.00093037
19,0.04108861,0.01920176,0.98688813,0.99414337,0.00930861,0.00784411,0.07080410,-1.28663167,-1.97435760,0.02121350,-3.12693064,0.39917582,0.00092216
20,0.04990518,0.01344529,0.98610142,0.99484267,0.00914333,0.00759351,0.08558443,-1.28511384,-1.97443511,0.02043145,-3.11623800,0.39411838,0.00091354
21,0.05825244,0.01784033,0.98006996,0.99370630,0.00909273,0.00752259,0.10396696,-1.28572010,-1.97771335,0.02041923,-3.09832264,0.40882867,0.00090451
22,0.04114664,0.01578581,0.98715037,0.99484267,0.00880376,0.00716647,0.05333653,-1.28782086,-1.97749264,0.01927931,-3.14646322,0.39309441,0.00089508
23,0.04417341,0.01067042,0.98618883,0.99685315,0.00862000,0.00696041,0.06426213,-1.28665425,-1.97733785,0.01890038,-3.14253642,0.39320679,0.00088526
