epoch  recon    ltr      case     attn     div      hit    recode   lr
--------------------------------------------------------------------------------
    1  0.0251  2.9053  0.6878  -0.1619  0.1862  0.3750  0.0273  0.001000
    2  0.0173  1.7374  0.5719  -0.1615  0.1727  0.4009  0.0181  0.001000
    3  0.0160  1.1210  0.3955  -0.1592  0.1552  0.4084  0.0167  0.000999
    4  0.0150  0.8273  0.2874  -0.1585  0.1525  0.4010  0.0156  0.000998
    5  0.0143  0.5629  0.2073  -0.1578  0.1462  0.4012  0.0146  0.000996
    6  0.0138  0.4216  0.1539  -0.1572  0.1426  0.4023  0.0138  0.000994
    7  0.0132  0.3408  0.1343  -0.1567  0.1420  0.4039  0.0129  0.000991
    8  0.0129  0.2606  0.1140  -0.1561  0.1363  0.4068  0.0122  0.000988
    9  0.0126  0.1743  0.0782  -0.1569  0.1381  0.4254  0.0116  0.000984
   10  0.0121  0.1800  0.0863  -0.1575  0.1423  0.4320  0.0109  0.000980
   11  0.0118  0.1619  0.0850  -0.1575  0.1411  0.4281  0.0105  0.000976
   12  0.0114  0.1449  0.0716  -0.1575  0.1393  0.4202  0.0100  0.000970
   13  0.0111  0.1353  0.0625  -0.1573  0.1383  0.4361  0.0096  0.000965
   14  0.0109  0.1421  0.0647  -0.1569  0.1362  0.4326  0.0095  0.000959
   15  0.0108  0.1159  0.0552  -0.1574  0.1394  0.4229  0.0093  0.000952
   16  0.0103  0.0889  0.0456  -0.1573  0.1361  0.4135  0.0088  0.000946
   17  0.0101  0.0903  0.0505  -0.1578  0.1380  0.4351  0.0086  0.000938
   18  0.0098  0.0765  0.0430  -0.1573  0.1311  0.4457  0.0083  0.000930
   19  0.0100  0.1172  0.0533  -0.1574  0.1330  0.4278  0.0085  0.000922
   20  0.0096  0.0912  0.0432  -0.1578  0.1331  0.4316  0.0081  0.000914
   21  0.0095  0.0716  0.0284  -0.1578  0.1332  0.4310  0.0080  0.000905
   22  0.0094  0.0754  0.0286  -0.1580  0.1305  0.4147  0.0078  0.000895
   23  0.0092  0.0713  0.0359  -0.1582  0.1292  0.4346  0.0075  0.000885
   24  0.0089  0.0526  0.0246  -0.1584  0.1265  0.4565  0.0071  0.000875
   25  0.0091  0.0743  0.0307  -0.1583  0.1294  0.4288  0.0075  0.000864
   26  0.0088  0.0581  0.0297  -0.1592  0.1330  0.4325  0.0071  0.000854
   27  0.0089  0.0743  0.0279  -0.1591  0.1301  0.4541  0.0072  0.000842
   28  0.0089  0.0776  0.0333  -0.1584  0.1237  0.4572  0.0073  0.000831
   29  0.0088  0.0563  0.0348  -0.1583  0.1252  0.4370  0.0071  0.000819
   30  0.0087  0.0643  0.0229  -0.1581  0.1233  0.4405  0.0069  0.000806
   31  0.0086  0.0552  0.0219  -0.1583  0.1243  0.4569  0.0068  0.000794
   32  0.0085  0.0415  0.0187  -0.1582  0.1200  0.4471  0.0067  0.000781
   33  0.0084  0.0300  0.0242  -0.1586  0.1225  0.4443  0.0066  0.000768
   34  0.0085  0.0609  0.0400  -0.1586  0.1217  0.4236  0.0068  0.000755
   35  0.0082  0.0464  0.0169  -0.1587  0.1165  0.4641  0.0064  0.000741
   36  0.0078  0.0230  0.0082  -0.1592  0.1169  0.4645  0.0059  0.000727
   37  0.0086  0.0685  0.0320  -0.1582  0.1167  0.4584  0.0068  0.000713
   38  0.0078  0.0203  0.0122  -0.1589  0.1158  0.4674  0.0059  0.000699
   39  0.0081  0.0357  0.0276  -0.1585  0.1141  0.4463  0.0063  0.000684
   40  0.0080  0.0371  0.0231  -0.1586  0.1164  0.4613  0.0062  0.000669
   41  0.0079  0.0247  0.0102  -0.1589  0.1121  0.4719  0.0060  0.000655
   42  0.0079  0.0331  0.0279  -0.1589  0.1099  0.4745  0.0059  0.000639
   43  0.0076  0.0252  0.0208  -0.1586  0.1098  0.4688  0.0057  0.000624
   44  0.0074  0.0163  0.0071  -0.1593  0.1118  0.4558  0.0054  0.000609
   45  0.0074  0.0296  0.0151  -0.1599  0.1123  0.4575  0.0055  0.000594
   46  0.0077  0.0421  0.0170  -0.1590  0.1079  0.4569  0.0058  0.000578
   47  0.0075  0.0300  0.0150  -0.1599  0.1141  0.4439  0.0055  0.000563
   48  0.0077  0.0403  0.0157  -0.1595  0.1114  0.4319  0.0058  0.000547
   49  0.0072  0.0185  0.0102  -0.1597  0.1076  0.4469  0.0053  0.000531
   50  0.0071  0.0171  0.0110  -0.1596  0.1042  0.4473  0.0051  0.000516
   51  0.0070  0.0222  0.0316  -0.1598  0.1048  0.4421  0.0049  0.000500
   52  0.0070  0.0182  0.0186  -0.1600  0.1053  0.4413  0.0050  0.000484
   53  0.0070  0.0271  0.0114  -0.1600  0.1025  0.4440  0.0051  0.000469
   54  0.0070  0.0229  0.0143  -0.1598  0.1032  0.4416  0.0050  0.000453
   55  0.0068  0.0226  0.0122  -0.1596  0.1001  0.4376  0.0048  0.000437
   56  0.0066  0.0104  0.0171  -0.1595  0.0961  0.4419  0.0045  0.000422
   57  0.0068  0.0160  0.0224  -0.1600  0.1016  0.4381  0.0047  0.000406
   58  0.0061  0.0043  0.0067  -0.1600  0.0950  0.4358  0.0038  0.000391
   59  0.0067  0.0232  0.0092  -0.1595  0.0944  0.4207  0.0046  0.000376
   60  0.0060  0.0018  0.0019  -0.1602  0.0945  0.4356  0.0037  0.000361
   61  0.0060  0.0103  0.0060  -0.1602  0.0915  0.4455  0.0037  0.000345
   62  0.0061  0.0061  0.0054  -0.1603  0.0932  0.4287  0.0038  0.000331
   63  0.0062  0.0095  0.0072  -0.1604  0.0960  0.4392  0.0040  0.000316
   64  0.0057  0.0028  0.0008  -0.1605  0.0926  0.4397  0.0032  0.000301
   65  0.0053  0.0009  0.0007  -0.1608  0.0913  0.4378  0.0027  0.000287
   66  0.0062  0.0083  0.0081  -0.1605  0.0932  0.4443  0.0040  0.000273
   67  0.0061  0.0084  0.0106  -0.1603  0.0914  0.4450  0.0037  0.000259
   68  0.0056  0.0018  0.0027  -0.1608  0.0921  0.4458  0.0030  0.000245
   69  0.0053  0.0013  0.0012  -0.1609  0.0906  0.4418  0.0027  0.000232
   70  0.0053  0.0027  0.0022  -0.1610  0.0907  0.4377  0.0027  0.000219
   71  0.0052  0.0029  0.0009  -0.1610  0.0888  0.4424  0.0025  0.000206
   72  0.0053  0.0018  0.0024  -0.1609  0.0886  0.4440  0.0026  0.000194
   73  0.0049  0.0001  0.0001  -0.1612  0.0887  0.4426  0.0020  0.000181
   74  0.0048  0.0001  0.0002  -0.1613  0.0875  0.4400  0.0018  0.000169
