epoch   recon     ltr    case     attn     div     hit  recode  content        lr  time
---------------------------------------------------------------------------------------
    1  0.0248  2.9592  0.6847  -1.4698  0.1202  0.3402  0.0271   0.0353  0.001000  51.7s
    2  0.0166  1.6962  0.5738  -1.6623  0.1225  0.3491  0.0179   0.0013  0.001000  49.1s
    3  0.0152  1.1912  0.4374  -1.9288  0.1088  0.3412  0.0165   0.0180  0.000999  50.1s
    4  0.0142  0.7323  0.3340  -2.3295  0.0961  0.3802  0.0150   0.4056  0.000998  50.2s
    5  0.0135  0.4080  0.2128  -2.5250  0.0899  0.4477  0.0139   0.6391  0.000996  49.0s
    6  0.0130  0.2959  0.1645  -2.5851  0.0908  0.4539  0.0128   0.6241  0.000994  50.2s
    7  0.0126  0.2343  0.1232  -2.6234  0.0839  0.4546  0.0121   0.4227  0.000991  48.9s
    8  0.0120  0.1707  0.0973  -2.6505  0.0845  0.4400  0.0111   0.3260  0.000988  49.7s
    9  0.0119  0.1493  0.0856  -2.6669  0.0857  0.4346  0.0108   0.2680  0.000984  49.8s
   10  0.0112  0.1365  0.0708  -2.6695  0.0837  0.4362  0.0099   0.2510  0.000980  48.5s
   11  0.0113  0.1385  0.0674  -2.6764  0.0832  0.4349  0.0100   0.2295  0.000976  49.8s
   12  0.0106  0.0903  0.0575  -2.6814  0.0818  0.4368  0.0092   0.2079  0.000970  48.5s
   13  0.0102  0.0955  0.0524  -2.6809  0.0792  0.4403  0.0088   0.1805  0.000965  49.8s
   14  0.0098  0.0768  0.0589  -2.6832  0.0758  0.4480  0.0084   0.1681  0.000959  49.8s
   15  0.0098  0.0863  0.0609  -2.6836  0.0769  0.4398  0.0083   0.1746  0.000952  48.6s
   16  0.0097  0.0765  0.0522  -2.6846  0.0751  0.4330  0.0082   0.1344  0.000946  49.7s
   17  0.0094  0.0700  0.0499  -2.6904  0.0771  0.4349  0.0079   0.1241  0.000938  48.6s
   18  0.0093  0.0660  0.0437  -2.6830  0.0726  0.4354  0.0078   0.1481  0.000930  49.7s
   19  0.0090  0.0515  0.0330  -2.6891  0.0713  0.4456  0.0074   0.1008  0.000922  48.5s
   20  0.0089  0.0500  0.0424  -2.6816  0.0659  0.4390  0.0073   0.1550  0.000914  49.7s
   21  0.0085  0.0414  0.0273  -2.6891  0.0699  0.4351  0.0069   0.1335  0.000905  49.8s
   22  0.0085  0.0464  0.0313  -2.6913  0.0693  0.4418  0.0070   0.1222  0.000895  48.6s
   23  0.0086  0.0407  0.0252  -2.6903  0.0696  0.4382  0.0070   0.1307  0.000885  49.7s
   24  0.0082  0.0334  0.0176  -2.6934  0.0683  0.4419  0.0065   0.1174  0.000875  48.6s
   25  0.0082  0.0470  0.0228  -2.6964  0.0709  0.4439  0.0066   0.1225  0.000864  49.7s
   26  0.0080  0.0206  0.0112  -2.6963  0.0667  0.4442  0.0063   0.0692  0.000854  49.7s
   27  0.0079  0.0335  0.0232  -2.7005  0.0667  0.4433  0.0061   0.0993  0.000842  48.5s
   28  0.0077  0.0153  0.0083  -2.6989  0.0653  0.4382  0.0059   0.0678  0.000831  49.7s
   29  0.0077  0.0286  0.0230  -2.7019  0.0641  0.4361  0.0059   0.0765  0.000819  48.5s
   30  0.0073  0.0123  0.0110  -2.7027  0.0625  0.4357  0.0055   0.0872  0.000806  49.6s
   31  0.0075  0.0296  0.0145  -2.7017  0.0603  0.4365  0.0057   0.0796  0.000794  48.6s
   32  0.0077  0.0262  0.0148  -2.6995  0.0615  0.4295  0.0059   0.0935  0.000781  49.7s
   33  0.0071  0.0129  0.0115  -2.7039  0.0600  0.4357  0.0051   0.0562  0.000768  49.8s
   34  0.0070  0.0187  0.0169  -2.7049  0.0582  0.4340  0.0050   0.0851  0.000755  48.6s
   35  0.0069  0.0061  0.0057  -2.7081  0.0599  0.4399  0.0049   0.0667  0.000741  49.7s
   36  0.0064  0.0070  0.0007  -2.7102  0.0572  0.4389  0.0043   0.0429  0.000727  48.4s
   37  0.0070  0.0129  0.0043  -2.7059  0.0570  0.4460  0.0051   0.0622  0.000713  49.8s
   38  0.0066  0.0109  0.0033  -2.7084  0.0567  0.4403  0.0046   0.0665  0.000699  48.7s
   39  0.0065  0.0132  0.0052  -2.7100  0.0565  0.4403  0.0044   0.0626  0.000684  49.6s
   40  0.0072  0.0237  0.0128  -2.6994  0.0537  0.4460  0.0052   0.1067  0.000669  49.7s
   41  0.0061  0.0092  0.0095  -2.7112  0.0560  0.4457  0.0039   0.0244  0.000655  48.4s
   42  0.0066  0.0162  0.0044  -2.7076  0.0541  0.4447  0.0046   0.0845  0.000639  49.7s
   43  0.0059  0.0028  0.0023  -2.7130  0.0546  0.4457  0.0035   0.0410  0.000624  48.6s
   44  0.0062  0.0079  0.0039  -2.7127  0.0545  0.4423  0.0040   0.0461  0.000609  49.8s
   45  0.0060  0.0035  0.0043  -2.7125  0.0533  0.4494  0.0036   0.0565  0.000594  49.6s
   46  0.0062  0.0091  0.0035  -2.7149  0.0555  0.4486  0.0040   0.0347  0.000578  48.5s
   47  0.0054  0.0014  0.0003  -2.7171  0.0542  0.4410  0.0028   0.0281  0.000563  49.6s
   48  0.0049  0.0002  0.0001  -2.7205  0.0546  0.4441  0.0021   0.0164  0.000547  48.5s
   49  0.0070  0.0279  0.0211  -2.7093  0.0547  0.4460  0.0048   0.0700  0.000531  49.7s
   50  0.0054  0.0039  0.0043  -2.7171  0.0553  0.4474  0.0029   0.0350  0.000516  48.4s
   51  0.0057  0.0081  0.0030  -2.7160  0.0532  0.4514  0.0031   0.0361  0.000500  49.7s
   52  0.0047  0.0004  0.0000  -2.7207  0.0540  0.4491  0.0017   0.0111  0.000484  49.6s
   53  0.0045  0.0001  0.0002  -2.7215  0.0537  0.4543  0.0014   0.0069  0.000469  48.6s
   54  0.0048  0.0027  0.0005  -2.7191  0.0523  0.4569  0.0017   0.0536  0.000453  49.7s
   55  0.0054  0.0039  0.0018  -2.7182  0.0545  0.4546  0.0028   0.0326  0.000437  48.5s
   56  0.0056  0.0065  0.0030  -2.7172  0.0520  0.4555  0.0030   0.0325  0.000422  49.6s
   57  0.0047  0.0003  0.0000  -2.7205  0.0529  0.4544  0.0017   0.0168  0.000406  48.4s
   58  0.0043  0.0001  0.0000  -2.7228  0.0535  0.4581  0.0011   0.0090  0.000391  49.8s
   59  0.0045  0.0003  0.0001  -2.7219  0.0528  0.4587  0.0013   0.0245  0.000376  49.8s
   60  0.0047  0.0034  0.0001  -2.7209  0.0527  0.4604  0.0018   0.0251  0.000361  48.5s
   61  0.0042  0.0001  0.0000  -2.7235  0.0534  0.4600  0.0009   0.0087  0.000345  49.6s
   62  0.0042  0.0003  0.0000  -2.7237  0.0532  0.4599  0.0009   0.0095  0.000331  48.6s
   63  0.0059  0.0256  0.0079  -2.7187  0.0550  0.4548  0.0033   0.0925  0.000316  49.8s
   64  0.0058  0.0104  0.0021  -2.7162  0.0537  0.4531  0.0034   0.0530  0.000301  49.7s
   65  0.0044  0.0001  0.0000  -2.7226  0.0535  0.4525  0.0012   0.0233  0.000287  48.5s
   66  0.0042  0.0005  0.0000  -2.7232  0.0531  0.4576  0.0010   0.0142  0.000273  49.7s
   67  0.0041  0.0000  0.0000  -2.7242  0.0536  0.4561  0.0008   0.0049  0.000259  48.7s
   68  0.0041  0.0001  0.0000  -2.7243  0.0532  0.4585  0.0008   0.0077  0.000245  49.8s
   69  0.0041  0.0000  0.0000  -2.7247  0.0533  0.4589  0.0007   0.0071  0.000232  48.5s
   70  0.0041  0.0001  0.0000  -2.7247  0.0533  0.4565  0.0008   0.0096  0.000219  49.6s
   71  0.0046  0.0052  0.0027  -2.7241  0.0538  0.4592  0.0016   0.0250  0.000206  49.6s
   72  0.0049  0.0029  0.0020  -2.7203  0.0531  0.4582  0.0019   0.0769  0.000194  48.5s
   73  0.0041  0.0001  0.0000  -2.7248  0.0535  0.4609  0.0007   0.0128  0.000181  49.7s
   74  0.0040  0.0000  0.0000  -2.7250  0.0533  0.4610  0.0006   0.0093  0.000169  48.4s
