epoch   recon     ltr    case     attn     div     hit  recode  content        lr  time
---------------------------------------------------------------------------------------
    1  0.0253  3.1411  0.6822  -1.3984  0.1059  0.3314  0.0272   0.6134  0.001000  52.2s
    2  0.0205  3.3030  0.6959  -1.3519  0.0980  0.2614  0.0205   0.6317  0.001000  50.7s
    3  0.0192  2.7591  0.5844  -1.3962  0.0982  0.3471  0.0194   0.4859  0.000999  50.9s
    4  0.0173  1.6411  0.4552  -1.4030  0.0844  0.3411  0.0177   0.3945  0.000998  50.8s
    5  0.0166  1.1610  0.3895  -1.3957  0.0846  0.3537  0.0169   0.4118  0.000996  50.7s
    6  0.0162  0.8419  0.2915  -1.3935  0.0820  0.3623  0.0162   0.4102  0.000994  51.2s
    7  0.0158  0.5912  0.2096  -1.3941  0.0810  0.3728  0.0156   0.3916  0.000991  50.6s
    8  0.0148  0.3858  0.1436  -1.3957  0.0808  0.3929  0.0145   0.3699  0.000988  50.7s
    9  0.0135  0.3535  0.1200  -1.3952  0.0801  0.3893  0.0131   0.3436  0.000984  51.0s
   10  0.0130  0.3063  0.0975  -1.3953  0.0799  0.4051  0.0124   0.3348  0.000980  50.9s
   11  0.0123  0.2405  0.0880  -1.3972  0.0766  0.4082  0.0115   0.3073  0.000976  51.5s
   12  0.0120  0.2146  0.0682  -1.3973  0.0759  0.4069  0.0111   0.2884  0.000970  52.8s
   13  0.0118  0.1998  0.0728  -1.3978  0.0758  0.4172  0.0108   0.2544  0.000965  53.2s
   14  0.0113  0.1760  0.0576  -1.3990  0.0732  0.4111  0.0101   0.1952  0.000959  51.4s
   15  0.0110  0.1620  0.0542  -1.3982  0.0664  0.4058  0.0098   0.1813  0.000952  50.7s
   16  0.0107  0.1482  0.0484  -1.3987  0.0630  0.3921  0.0095   0.1575  0.000946  50.8s
   17  0.0106  0.1538  0.0542  -1.3985  0.0592  0.3823  0.0093   0.1744  0.000938  51.2s
   18  0.0103  0.1301  0.0444  -1.3989  0.0620  0.3998  0.0091   0.1583  0.000930  50.7s
   19  0.0102  0.1163  0.0417  -1.3999  0.0574  0.3915  0.0089   0.1372  0.000922  50.9s
   20  0.0100  0.1123  0.0385  -1.4001  0.0539  0.3848  0.0087   0.1574  0.000914  50.9s
   21  0.0100  0.1134  0.0455  -1.4004  0.0543  0.3868  0.0087   0.1594  0.000905  51.2s
   22  0.0099  0.1011  0.0379  -1.4001  0.0468  0.3780  0.0084   0.1404  0.000895  51.0s
   23  0.0096  0.0862  0.0445  -1.4019  0.0470  0.3976  0.0081   0.1081  0.000885  51.4s
   24  0.0094  0.0818  0.0248  -1.4006  0.0467  0.3941  0.0079   0.1398  0.000875  50.9s
   25  0.0093  0.0896  0.0347  -1.4008  0.0451  0.3878  0.0078   0.1272  0.000864  50.6s
   26  0.0091  0.0494  0.0192  -1.4034  0.0423  0.3840  0.0074   0.0984  0.000854  51.2s
   27  0.0092  0.0607  0.0175  -1.4031  0.0385  0.3792  0.0075   0.1076  0.000842  50.8s
   28  0.0091  0.0606  0.0274  -1.4022  0.0366  0.3873  0.0074   0.1070  0.000831  51.2s
   29  0.0090  0.0459  0.0283  -1.4042  0.0383  0.3741  0.0073   0.0808  0.000819  51.1s
   30  0.0088  0.0473  0.0257  -1.4044  0.0362  0.3835  0.0071   0.0854  0.000806  50.8s
   31  0.0086  0.0379  0.0259  -1.4048  0.0360  0.3914  0.0069   0.0761  0.000794  51.2s
   32  0.0083  0.0310  0.0102  -1.4065  0.0331  0.3721  0.0066   0.0672  0.000781  51.3s
   33  0.0080  0.0199  0.0074  -1.4068  0.0310  0.3823  0.0061   0.0526  0.000768  51.6s
   34  0.0083  0.0234  0.0163  -1.4070  0.0310  0.3676  0.0065   0.0570  0.000755  51.7s
   35  0.0079  0.0178  0.0082  -1.4089  0.0274  0.3555  0.0061   0.0570  0.000741  51.6s
   36  0.0078  0.0280  0.0147  -1.4106  0.0269  0.3478  0.0061   0.0489  0.000727  51.9s
   37  0.0078  0.0288  0.0124  -1.4091  0.0272  0.3631  0.0060   0.0739  0.000713  52.3s
   38  0.0076  0.0199  0.0087  -1.4101  0.0273  0.3682  0.0058   0.0472  0.000699  52.1s
   39  0.0078  0.0247  0.0106  -1.4104  0.0287  0.3705  0.0060   0.0621  0.000684  51.5s
   40  0.0077  0.0157  0.0118  -1.4093  0.0270  0.3517  0.0058   0.0477  0.000669  51.8s
   41  0.0078  0.0218  0.0254  -1.4111  0.0260  0.3395  0.0060   0.0474  0.000655  51.3s
   42  0.0075  0.0175  0.0051  -1.4114  0.0252  0.3407  0.0056   0.0446  0.000639  51.1s
   43  0.0071  0.0137  0.0032  -1.4127  0.0236  0.3515  0.0051   0.0331  0.000624  51.6s
   44  0.0069  0.0097  0.0073  -1.4136  0.0202  0.3300  0.0050   0.0319  0.000609  51.3s
   45  0.0067  0.0038  0.0018  -1.4138  0.0190  0.3243  0.0047   0.0325  0.000594  51.2s
   46  0.0070  0.0094  0.0089  -1.4132  0.0190  0.3360  0.0051   0.0421  0.000578  51.0s
   47  0.0069  0.0151  0.0075  -1.4129  0.0192  0.3352  0.0050   0.0317  0.000563  51.2s
   48  0.0067  0.0058  0.0028  -1.4130  0.0180  0.3326  0.0046   0.0261  0.000547  51.4s
   49  0.0065  0.0033  0.0038  -1.4135  0.0169  0.3251  0.0044   0.0279  0.000531  51.0s
   50  0.0060  0.0016  0.0002  -1.4141  0.0146  0.3032  0.0038   0.0237  0.000516  51.5s
   51  0.0062  0.0025  0.0021  -1.4143  0.0143  0.2977  0.0040   0.0282  0.000500  51.3s
   52  0.0060  0.0008  0.0013  -1.4136  0.0145  0.3079  0.0038   0.0317  0.000484  51.2s
   53  0.0061  0.0030  0.0007  -1.4145  0.0138  0.3016  0.0040   0.0278  0.000469  51.4s
   54  0.0059  0.0036  0.0029  -1.4135  0.0145  0.3033  0.0037   0.0193  0.000453  51.3s
   55  0.0063  0.0093  0.0095  -1.4139  0.0146  0.2972  0.0042   0.0206  0.000437  51.3s
   56  0.0058  0.0008  0.0005  -1.4142  0.0139  0.2916  0.0035   0.0219  0.000422  51.2s
   57  0.0063  0.0095  0.0067  -1.4135  0.0140  0.2935  0.0042   0.0479  0.000406  51.5s
   58  0.0052  0.0002  0.0002  -1.4140  0.0113  0.2649  0.0028   0.0161  0.000391  51.4s
   59  0.0053  0.0008  0.0006  -1.4140  0.0113  0.2553  0.0029   0.0120  0.000376  51.1s
   60  0.0051  0.0003  0.0001  -1.4144  0.0103  0.2487  0.0025   0.0150  0.000361  51.4s
   61  0.0050  0.0001  0.0000  -1.4144  0.0100  0.2436  0.0024   0.0205  0.000345  51.4s
   62  0.0050  0.0006  0.0000  -1.4148  0.0096  0.2381  0.0025   0.0242  0.000331  51.3s
   63  0.0050  0.0005  0.0001  -1.4149  0.0101  0.2459  0.0024   0.0191  0.000316  51.1s
   64  0.0052  0.0017  0.0003  -1.4143  0.0109  0.2547  0.0027   0.0234  0.000301  51.5s
   65  0.0050  0.0002  0.0006  -1.4144  0.0102  0.2477  0.0024   0.0188  0.000287  51.5s
   66  0.0051  0.0029  0.0026  -1.4150  0.0101  0.2415  0.0025   0.0180  0.000273  51.2s
   67  0.0050  0.0005  0.0000  -1.4149  0.0102  0.2330  0.0024   0.0210  0.000259  51.3s
   68  0.0048  0.0003  0.0001  -1.4151  0.0094  0.2340  0.0021   0.0136  0.000245  51.5s
   69  0.0046  0.0008  0.0005  -1.4151  0.0084  0.2251  0.0017   0.0129  0.000232  51.2s
   70  0.0046  0.0004  0.0005  -1.4148  0.0086  0.2260  0.0018   0.0113  0.000219  51.3s
   71  0.0045  0.0001  0.0001  -1.4149  0.0079  0.2148  0.0015   0.0077  0.000206  51.4s
   72  0.0044  0.0000  0.0000  -1.4149  0.0075  0.2139  0.0014   0.0088  0.000194  51.4s
   73  0.0044  0.0000  0.0000  -1.4158  0.0074  0.2089  0.0013   0.0114  0.000181  51.5s
   74  0.0044  0.0000  0.0000  -1.4154  0.0075  0.2128  0.0013   0.0125  0.000169  51.4s
   75  0.0043  0.0000  0.0000  -1.4157  0.0070  0.2074  0.0012   0.0124  0.000158  51.1s
   76  0.0044  0.0003  0.0000  -1.4154  0.0070  0.2010  0.0012   0.0102  0.000146  51.1s
   77  0.0043  0.0000  0.0000  -1.4152  0.0069  0.2019  0.0012   0.0038  0.000136  51.4s
   78  0.0042  0.0000  0.0000  -1.4152  0.0064  0.1948  0.0010   0.0054  0.000125  51.2s
   79  0.0042  0.0000  0.0000  -1.4152  0.0063  0.1937  0.0009   0.0026  0.000115  51.2s
   80  0.0042  0.0000  0.0000  -1.4154  0.0064  0.1958  0.0010   0.0022  0.000105  51.1s
   81  0.0041  0.0000  0.0000  -1.4154  0.0060  0.1922  0.0009   0.0045  0.000095  51.3s
   82  0.0042  0.0000  0.0000  -1.4162  0.0062  0.1932  0.0009   0.0080  0.000086  51.4s
   83  0.0041  0.0000  0.0000  -1.4155  0.0059  0.1910  0.0008   0.0048  0.000078  51.1s
   84  0.0041  0.0000  0.0000  -1.4157  0.0058  0.1897  0.0008   0.0030  0.000070  51.1s
   85  0.0040  0.0000  0.0000  -1.4156  0.0058  0.1891  0.0007   0.0021  0.000062  51.4s
   86  0.0040  0.0000  0.0000  -1.4157  0.0056  0.1871  0.0007   0.0044  0.000054  51.1s
   87  0.0041  0.0000  0.0000  -1.4157  0.0057  0.1888  0.0007   0.0021  0.000048  51.5s
   88  0.0040  0.0000  0.0000  -1.4157  0.0055  0.1867  0.0007   0.0018  0.000041  51.4s
   89  0.0040  0.0000  0.0000  -1.4158  0.0054  0.1862  0.0006   0.0016  0.000035  51.4s
   90  0.0040  0.0000  0.0000  -1.4158  0.0053  0.1852  0.0006   0.0013  0.000030  51.4s
   91  0.0040  0.0000  0.0000  -1.4158  0.0053  0.1847  0.0006   0.0013  0.000024  51.1s
   92  0.0040  0.0000  0.0000  -1.4159  0.0052  0.1846  0.0006   0.0013  0.000020  52.1s
   93  0.0040  0.0000  0.0000  -1.4159  0.0052  0.1844  0.0006   0.0006  0.000016  51.2s
   94  0.0040  0.0000  0.0000  -1.4159  0.0051  0.1835  0.0006   0.0023  0.000012  51.8s
   95  0.0040  0.0000  0.0000  -1.4159  0.0051  0.1832  0.0006   0.0023  0.000009  51.9s
   96  0.0040  0.0000  0.0000  -1.4159  0.0051  0.1835  0.0006   0.0021  0.000006  51.5s
   97  0.0040  0.0000  0.0000  -1.4159  0.0050  0.1829  0.0006   0.0021  0.000004  51.4s
   98  0.0040  0.0000  0.0000  -1.4159  0.0050  0.1826  0.0006   0.0018  0.000002  51.5s
   99  0.0040  0.0000  0.0000  -1.4159  0.0050  0.1825  0.0006   0.0020  0.000001  51.5s
  100  0.0040  0.0000  0.0000  -1.4159  0.0050  0.1825  0.0006   0.0018  0.000000  51.6s
