epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
-------------------------------------------------------------------------------------------------------------------------------------------------
    1  0.0065  0.0652  0.0384  -1.8423  0.0766  0.3812  0.0045   0.0137  0.4420  0.6877  14.7186  0.0728  0.6719  0.001000  0.001000  1.0000  79.1s
    2  0.0062  0.0586  0.0567  -1.8429  0.0753  0.3837  0.0041   0.0092  0.4616  0.6703  11.1263  0.1229  0.5367  0.001000  0.001000  0.9925  75.8s
    3  0.0060  0.0743  0.0849  -1.8432  0.0745  0.3869  0.0040   0.0090  0.4979  0.5547  11.3477  0.1184  0.5686  0.001000  0.001000  0.9851  76.9s
    4  0.0059  0.0702  0.0997  -1.8438  0.0739  0.3899  0.0038   0.0052  0.4479  0.4918  10.0849  0.1858  0.5760  0.000999  0.000999  0.9776  75.1s
    5  0.0063  0.1219  0.1241  -1.8433  0.0739  0.3899  0.0044   0.0124  0.4149  0.3505  8.8606  0.2554  0.6320  0.000999  0.000999  0.9701  75.0s
    6  0.0061  0.0865  0.1151  -1.8435  0.0734  0.3917  0.0041   0.0137  0.4166  0.3124  6.9069  0.3479  0.6866  0.000998  0.000998  0.9627  75.3s
    7  0.0060  0.0889  0.1151  -1.8435  0.0732  0.3904  0.0040   0.0124  0.4264  0.2898  6.5412  0.3776  0.7089  0.000998  0.000998  0.9552  77.2s
    8  0.0059  0.0778  0.1315  -1.8437  0.0730  0.3911  0.0038   0.0121  0.4232  0.2336  5.8187  0.4233  0.7260  0.000997  0.000997  0.9478  75.3s
    9  0.0060  0.0878  0.1318  -1.8434  0.0729  0.3924  0.0039   0.0122  0.4096  0.2062  5.2480  0.4512  0.7417  0.000996  0.000996  0.9403  75.4s
   10  0.0061  0.0971  0.1459  -1.8435  0.0727  0.3923  0.0040   0.0134  0.4027  0.2206  4.6472  0.4448  0.7128  0.000995  0.000995  0.9328  76.2s
   11  0.0062  0.0988  0.1706  -1.8436  0.0729  0.3924  0.0042   0.0159  0.3970  0.1982  4.2083  0.4746  0.7532  0.000994  0.000994  0.9254  75.8s
   12  0.0062  0.1118  0.1886  -1.8440  0.0727  0.3920  0.0041   0.0096  0.3886  0.2107  3.6889  0.5260  0.7380  0.000993  0.000993  0.9179  77.1s
   13  0.0063  0.1066  0.1867  -1.8436  0.0728  0.3921  0.0042   0.0179  0.3916  0.2111  3.6698  0.4995  0.7286  0.000991  0.000991  0.9104  77.8s
   14  0.0058  0.0873  0.1916  -1.8442  0.0724  0.3928  0.0036   0.0094  0.3909  0.2015  3.0688  0.5793  0.7623  0.000990  0.000990  0.9030  77.0s
   15  0.0054  0.0738  0.1855  -1.8446  0.0720  0.3936  0.0029   0.0068  0.3849  0.1865  2.5939  0.6312  0.7823  0.000988  0.000988  0.8955  75.9s
