epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
-----------------------------------------------------------------------------------------------------------------------------------------------------------
    1  0.0559  3.2154  2.5592  2.9002  2.9100  -0.1297  -0.0652  0.3333  0.6010  2.8832  0.3277  0.001000  0.001000  1.0000  141.7s
    2  0.0305  3.0920  1.8408  2.5973  2.7486  -0.1308  -0.0883  0.1904  0.5158  2.5934  0.3235  0.001000  0.001000  0.9925  138.9s
    3  0.0303  3.0029  1.8367  2.3177  2.6749  -0.1299  -0.0965  0.1415  0.5020  2.5470  0.3245  0.001000  0.001000  0.9851  136.1s
    4  0.0302  2.9215  1.7975  2.1434  2.5979  -0.1279  -0.0974  0.1175  0.4897  2.4914  0.3303  0.000999  0.000999  0.9776  136.2s
    5  0.0298  2.8543  1.6136  1.8968  2.5647  -0.1304  -0.0969  0.1275  0.4740  2.2768  0.3234  0.000999  0.000999  0.9701  135.6s
    6  0.0296  2.8190  1.6415  1.8676  2.5635  -0.1312  -0.0934  0.1148  0.4842  2.3068  0.3186  0.000998  0.000998  0.9627  135.8s
    7  0.0294  2.8052  1.6045  1.7577  2.4614  -0.1308  -0.0982  0.1054  0.4676  2.4264  0.3263  0.000998  0.000998  0.9552  135.7s
    8  0.0292  2.7596  1.5923  1.7116  2.3078  -0.1308  -0.0957  0.0996  0.4584  2.3062  0.3195  0.000997  0.000997  0.9478  135.5s
    9  0.0290  2.6401  1.5182  1.6731  2.6070  -0.1292  -0.0979  0.1312  0.4572  2.2054  0.3421  0.000996  0.000996  0.9403  135.7s
   10  0.0286  2.5833  1.4685  1.6117  2.5906  -0.1267  -0.0998  0.1283  0.4420  2.3246  0.3198  0.000995  0.000995  0.9328  135.9s
   11  0.0282  2.5370  1.4124  1.5451  2.5869  -0.1271  -0.1003  0.1229  0.4379  2.2297  0.3206  0.000994  0.000994  0.9254  135.6s
   12  0.0280  2.4917  1.2856  1.5334  2.5573  -0.1267  -0.1012  0.1416  0.4382  2.3617  0.3343  0.000993  0.000993  0.9179  135.5s
   13  0.0276  2.4506  1.2444  1.4786  2.5491  -0.1256  -0.1026  0.1287  0.4412  2.1782  0.3221  0.000991  0.000991  0.9104  135.6s
   14  0.0277  2.6381  1.2650  1.3801  2.5778  -0.1255  -0.1032  0.1103  0.4538  2.1517  0.3057  0.000990  0.000990  0.9030  135.8s
   15  0.0269  2.4393  1.2404  1.3651  2.5903  -0.1244  -0.1041  0.0997  0.4589  2.1144  0.3045  0.000988  0.000988  0.8955  135.5s
