epoch  recon    pos1     pos2     attn     div      hit      lr_enc   lr_read  scaff
------------------------------------------------------------------------------------------
    1  0.1627  3.1832  3.1864  -0.1087  0.1488  0.3983  0.000100  0.001000  1.0000
    2  0.0847  2.9412  2.8958  -0.1097  0.1462  0.3961  0.000100  0.001000  0.9950
    3  0.0467  2.7988  2.7140  -0.1110  0.1476  0.3924  0.000100  0.001000  0.9900
    4  0.0325  2.6827  2.6187  -0.1119  0.1494  0.3942  0.000100  0.001000  0.9850
    5  0.0262  2.5719  2.5564  -0.1125  0.1505  0.3966  0.000100  0.001000  0.9800
    6  0.0233  2.4752  2.4818  -0.1129  0.1519  0.3965  0.000100  0.000999  0.9750
    7  0.0217  2.4004  2.3909  -0.1132  0.1525  0.3978  0.000100  0.000999  0.9700
    8  0.0206  2.3475  2.3307  -0.1136  0.1534  0.3967  0.000100  0.000999  0.9650
    9  0.0198  2.2990  2.2275  -0.1142  0.1550  0.3880  0.000100  0.000998  0.9600
   10  0.0192  2.2425  2.1542  -0.1150  0.1566  0.3873  0.000100  0.000998  0.9550
   11  0.0187  2.1690  2.0790  -0.1155  0.1572  0.3875  0.000100  0.000997  0.9500
   12  0.0183  2.0675  2.0247  -0.1157  0.1571  0.3899  0.000100  0.000997  0.9450
   13  0.0181  1.9845  1.9511  -0.1159  0.1570  0.3904  0.000100  0.000996  0.9400
   14  0.0177  1.8737  1.8883  -0.1164  0.1571  0.3917  0.000100  0.000995  0.9350
   15  0.0175  1.7640  1.8313  -0.1169  0.1571  0.3876  0.000099  0.000995  0.9300
   16  0.0172  1.6495  1.7552  -0.1171  0.1568  0.3881  0.000099  0.000994  0.9250
   17  0.0170  1.5507  1.6873  -0.1175  0.1575  0.3883  0.000099  0.000993  0.9200
   18  0.0167  1.4563  1.6383  -0.1180  0.1588  0.3924  0.000099  0.000992  0.9150
   19  0.0165  1.3652  1.5845  -0.1184  0.1597  0.3913  0.000099  0.000991  0.9100
   20  0.0163  1.2833  1.5301  -0.1188  0.1598  0.3904  0.000099  0.000990  0.9050
   21  0.0161  1.2282  1.4831  -0.1192  0.1603  0.3924  0.000099  0.000989  0.9000
   22  0.0159  1.1548  1.4408  -0.1198  0.1603  0.3927  0.000099  0.000988  0.8950
   23  0.0157  1.1072  1.3966  -0.1199  0.1603  0.3925  0.000099  0.000987  0.8900
   24  0.0157  1.0701  1.3538  -0.1205  0.1608  0.4007  0.000099  0.000986  0.8850
   25  0.0155  1.0283  1.3017  -0.1208  0.1605  0.3949  0.000098  0.000984  0.8800
   26  0.0153  0.9861  1.2648  -0.1212  0.1600  0.4005  0.000098  0.000983  0.8750
   27  0.0151  0.9349  1.2076  -0.1216  0.1602  0.4002  0.000098  0.000982  0.8700
   28  0.0150  0.8896  1.1659  -0.1220  0.1608  0.3985  0.000098  0.000980  0.8650
   29  0.0148  0.8376  1.1225  -0.1225  0.1614  0.3984  0.000098  0.000979  0.8600
   30  0.0146  0.8167  1.0746  -0.1227  0.1613  0.4018  0.000098  0.000977  0.8550
   31  0.0145  0.7783  1.0375  -0.1232  0.1611  0.4003  0.000098  0.000976  0.8500
   32  0.0144  0.7500  0.9791  -0.1235  0.1607  0.3999  0.000097  0.000974  0.8450
   33  0.0142  0.7081  0.9470  -0.1239  0.1598  0.3960  0.000097  0.000972  0.8400
   34  0.0141  0.6827  0.9081  -0.1242  0.1602  0.3984  0.000097  0.000970  0.8350
   35  0.0139  0.6496  0.8629  -0.1246  0.1606  0.3981  0.000097  0.000969  0.8300
   36  0.0138  0.6214  0.8329  -0.1249  0.1608  0.4024  0.000097  0.000967  0.8250
   37  0.0137  0.6013  0.7947  -0.1253  0.1613  0.4022  0.000096  0.000965  0.8200
   38  0.0136  0.5644  0.7713  -0.1258  0.1613  0.4006  0.000096  0.000963  0.8150
   39  0.0135  0.5414  0.7234  -0.1261  0.1602  0.4015  0.000096  0.000961  0.8100
   40  0.0134  0.5166  0.6973  -0.1263  0.1600  0.4022  0.000096  0.000959  0.8050
   41  0.0134  0.5084  0.6849  -0.1270  0.1607  0.4041  0.000096  0.000957  0.8000
