epoch   recon     ltr    case     attn     div     hit  recode  content        lr  time
---------------------------------------------------------------------------------------
    1  0.0258  3.2662  0.6945  -0.1852  0.0574  0.2430  0.0277   0.0460  0.001000  48.6s
    2  0.0192  2.9146  0.6719  -0.5412  0.0407  0.3121  0.0198   0.0141  0.001000  50.7s
    3  0.0164  1.7705  0.5667  -1.0448  0.0347  0.3337  0.0175   0.4206  0.000999  48.2s
    4  0.0155  1.3019  0.4411  -1.2372  0.0330  0.3581  0.0164   0.6914  0.000998  51.0s
    5  0.0147  0.9008  0.2651  -1.2930  0.0316  0.3729  0.0153   0.6555  0.000996  47.9s
    6  0.0143  0.7299  0.1847  -1.3049  0.0334  0.3486  0.0146   0.2113  0.000994  50.7s
    7  0.0139  0.4907  0.1272  -1.3178  0.0332  0.3462  0.0138   0.1102  0.000991  50.5s
    8  0.0135  0.3445  0.0989  -1.3225  0.0325  0.3387  0.0131   0.1125  0.000988  47.8s
    9  0.0133  0.3600  0.1143  -1.3327  0.0319  0.3326  0.0129   0.1466  0.000984  50.7s
   10  0.0129  0.2336  0.0774  -1.3417  0.0303  0.3241  0.0121   0.1174  0.000980  47.9s
   11  0.0125  0.2062  0.0650  -1.3494  0.0316  0.3269  0.0116   0.1308  0.000976  50.5s
   12  0.0122  0.1941  0.0666  -1.3646  0.0295  0.3241  0.0112   0.1785  0.000970  47.6s
   13  0.0117  0.1367  0.0492  -1.3905  0.0283  0.3178  0.0105   0.2141  0.000965  50.5s
   14  0.0117  0.1443  0.0595  -1.4011  0.0287  0.3172  0.0104   0.2493  0.000959  47.8s
   15  0.0113  0.1118  0.0489  -1.4056  0.0277  0.3189  0.0099   0.1954  0.000952  50.5s
   16  0.0111  0.0927  0.0334  -1.4059  0.0256  0.3132  0.0096   0.1314  0.000946  47.6s
   17  0.0110  0.0944  0.0594  -1.4068  0.0243  0.3079  0.0095   0.2010  0.000938  50.5s
   18  0.0106  0.0612  0.0293  -1.4098  0.0235  0.3102  0.0090   0.1181  0.000930  47.6s
   19  0.0104  0.0659  0.0382  -1.4095  0.0244  0.3321  0.0089   0.1518  0.000922  50.3s
   20  0.0102  0.0729  0.0313  -1.4099  0.0247  0.3278  0.0087   0.1021  0.000914  47.6s
   21  0.0097  0.0427  0.0193  -1.4104  0.0243  0.3290  0.0081   0.0879  0.000905  50.3s
   22  0.0098  0.0567  0.0210  -1.4101  0.0230  0.3121  0.0081   0.1126  0.000895  47.6s
   23  0.0095  0.0426  0.0219  -1.4126  0.0230  0.3241  0.0078   0.0815  0.000885  46.5s
   24  0.0094  0.0430  0.0168  -1.4113  0.0218  0.3189  0.0077   0.1175  0.000875  51.4s
   25  0.0092  0.0403  0.0191  -1.4119  0.0226  0.3246  0.0075   0.1001  0.000864  47.6s
   26  0.0091  0.0419  0.0297  -1.4124  0.0211  0.3238  0.0075   0.1090  0.000854  50.4s
   27  0.0088  0.0239  0.0093  -1.4119  0.0201  0.3274  0.0070   0.1002  0.000842  47.6s
   28  0.0091  0.0490  0.0171  -1.4126  0.0213  0.3345  0.0075   0.0585  0.000831  50.4s
   29  0.0085  0.0163  0.0127  -1.4137  0.0191  0.3295  0.0068   0.0595  0.000819  47.7s
   30  0.0085  0.0228  0.0119  -1.4134  0.0196  0.3278  0.0068   0.0441  0.000806  50.3s
   31  0.0083  0.0291  0.0110  -1.4132  0.0189  0.3251  0.0066   0.0580  0.000794  47.7s
   32  0.0081  0.0202  0.0124  -1.4138  0.0184  0.3182  0.0063   0.0680  0.000781  50.3s
   33  0.0076  0.0074  0.0041  -1.4141  0.0181  0.3240  0.0058   0.0594  0.000768  47.6s
   34  0.0080  0.0225  0.0106  -1.4145  0.0187  0.3311  0.0062   0.0512  0.000755  50.3s
   35  0.0084  0.0590  0.0121  -1.4124  0.0184  0.3176  0.0067   0.0973  0.000741  47.7s
   36  0.0077  0.0156  0.0043  -1.4145  0.0172  0.3237  0.0058   0.0319  0.000727  50.4s
   37  0.0081  0.0262  0.0110  -1.4134  0.0174  0.3125  0.0062   0.0810  0.000713  47.6s
   38  0.0079  0.0226  0.0148  -1.4153  0.0164  0.3096  0.0059   0.0435  0.000699  50.3s
   39  0.0074  0.0110  0.0038  -1.4144  0.0153  0.3104  0.0054   0.0453  0.000684  47.7s
   40  0.0067  0.0039  0.0005  -1.4148  0.0138  0.3104  0.0046   0.0530  0.000669  50.4s
   41  0.0065  0.0047  0.0028  -1.4150  0.0134  0.2989  0.0044   0.0362  0.000655  47.6s
   42  0.0080  0.0360  0.0105  -1.4147  0.0155  0.2978  0.0061   0.0668  0.000639  50.3s
   43  0.0073  0.0110  0.0035  -1.4138  0.0146  0.3015  0.0053   0.0840  0.000624  48.0s
   44  0.0067  0.0090  0.0018  -1.4156  0.0137  0.3024  0.0046   0.0405  0.000609  50.8s
   45  0.0070  0.0138  0.0078  -1.4151  0.0131  0.3080  0.0050   0.0279  0.000594  47.9s
   46  0.0065  0.0034  0.0005  -1.4149  0.0125  0.2912  0.0043   0.0628  0.000578  50.7s
   47  0.0067  0.0119  0.0057  -1.4151  0.0127  0.2936  0.0045   0.0569  0.000563  47.8s
   48  0.0063  0.0072  0.0037  -1.4156  0.0117  0.2949  0.0041   0.0443  0.000547  51.0s
   49  0.0070  0.0109  0.0062  -1.4152  0.0136  0.3007  0.0049   0.0740  0.000531  50.8s
   50  0.0059  0.0008  0.0010  -1.4161  0.0112  0.2923  0.0036   0.0366  0.000516  48.5s
