epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit   lr_attn    lr_cls  lr_rcon    scaff  time
----------------------------------------------------------------------------------------------------------------------------------------------------------------
    1  0.0437  3.1643  2.4345  2.8188  2.8348  -0.1317  -0.0930  0.1413  0.5807  2.1411  0.3222  0.001000  0.001000  0.001000  1.0000  251.9s
    2  0.0302  2.9158  1.9919  2.6524  2.4629  -0.1328  -0.1002  0.0596  0.4749  1.6331  0.2979  0.001000  0.001000  0.001000  0.9925  264.0s
    3  0.0293  2.7634  1.8143  2.4996  2.4533  -0.1335  -0.1034  0.0463  0.4379  1.3759  0.2669  0.001000  0.001000  0.001000  0.9851  233.2s
    4  0.0289  2.7156  1.8394  2.4511  2.4923  -0.1337  -0.1058  0.0492  0.4226  1.1799  0.2529  0.000999  0.000999  0.000999  0.9776  246.9s
    5  0.0279  2.5560  1.8696  2.3471  2.3643  -0.1338  -0.1070  0.0485  0.4096  1.1032  0.2526  0.000999  0.000999  0.000999  0.9701  285.0s
    6  0.0266  2.4426  1.8235  2.2702  2.1698  -0.1338  -0.1079  0.0456  0.4004  1.0173  0.2509  0.000998  0.000998  0.000998  0.9627  265.0s
    7  0.0263  2.4380  1.8475  2.3079  2.0965  -0.1337  -0.1089  0.0467  0.3905  0.9453  0.2577  0.000998  0.000998  0.000998  0.9552  262.3s
    8  0.0259  2.3276  1.8617  2.2764  2.0006  -0.1337  -0.1098  0.0477  0.3800  0.8894  0.2647  0.000997  0.000997  0.000997  0.9478  253.6s
    9  0.0237  2.1320  1.7624  2.1987  1.7665  -0.1337  -0.1111  0.0476  0.3665  0.8106  0.2674  0.000996  0.000996  0.000996  0.9403  264.3s
   10  0.0224  2.0519  1.7003  2.1200  1.5222  -0.1337  -0.1120  0.0472  0.3505  0.6548  0.2724  0.000995  0.000995  0.000995  0.9328  268.6s
   11  0.0216  2.0372  1.7145  2.0565  1.4396  -0.1338  -0.1131  0.0481  0.3274  0.6083  0.2845  0.000994  0.000994  0.000994  0.9254  249.1s
   12  0.0203  2.0634  1.6688  1.9713  1.3153  -0.1337  -0.1140  0.0483  0.3134  0.6004  0.2971  0.000993  0.000993  0.000993  0.9179  277.5s
   13  0.0207  2.0648  1.6462  1.9178  1.3464  -0.1339  -0.1149  0.0491  0.2833  0.5541  0.3084  0.000991  0.000991  0.000991  0.9104  269.4s
   14  0.0206  2.0799  1.6791  1.9305  1.4004  -0.1339  -0.1158  0.0497  0.2684  0.5247  0.3140  0.000990  0.000990  0.000990  0.9030  256.8s
   15  0.0191  2.0173  1.6331  1.8505  1.2284  -0.1339  -0.1168  0.0503  0.2424  0.5069  0.3231  0.000988  0.000988  0.000988  0.8955  268.9s
   16  0.0173  1.9299  1.5835  1.7900  1.1627  -0.1340  -0.1177  0.0507  0.2145  0.4445  0.3279  0.000986  0.000986  0.000986  0.8881  267.0s
   17  0.0170  1.9263  1.5519  1.7486  1.1529  -0.1340  -0.1186  0.0513  0.1972  0.3622  0.3310  0.000984  0.000984  0.000984  0.8806  234.4s
   18  0.0158  1.8325  1.4885  1.7167  1.1506  -0.1340  -0.1195  0.0517  0.1842  0.4023  0.3342  0.000982  0.000982  0.000982  0.8731  258.7s
   19  0.0144  1.7522  1.3844  1.6258  1.0769  -0.1340  -0.1205  0.0529  0.1644  0.3874  0.3342  0.000980  0.000980  0.000980  0.8657  241.1s
   20  0.0132  1.7147  1.3489  1.6031  0.9895  -0.1340  -0.1214  0.0533  0.1594  0.3746  0.3393  0.000978  0.000978  0.000978  0.8582  270.5s
   21  0.0128  1.6491  1.2821  1.5120  0.9249  -0.1341  -0.1224  0.0542  0.1337  0.2529  0.3411  0.000976  0.000976  0.000976  0.8507  262.7s
   22  0.0114  1.5853  1.2325  1.4282  0.8630  -0.1340  -0.1233  0.0543  0.1301  0.2744  0.3474  0.000973  0.000973  0.000973  0.8433  274.8s
   23  0.0106  1.5584  1.1884  1.3354  0.7822  -0.1341  -0.1242  0.0553  0.1122  0.2326  0.3491  0.000970  0.000970  0.000970  0.8358  266.2s
   24  0.0100  1.4693  1.1693  1.2779  0.7727  -0.1341  -0.1251  0.0560  0.1071  0.2883  0.3538  0.000968  0.000968  0.000968  0.8284  256.5s
   25  0.0092  1.4474  1.0929  1.2357  0.7254  -0.1342  -0.1261  0.0565  0.1005  0.2692  0.3524  0.000965  0.000965  0.000965  0.8209  296.8s
   26  0.0093  1.4177  1.0730  1.2230  0.7621  -0.1342  -0.1270  0.0571  0.1063  0.3055  0.3512  0.000962  0.000962  0.000962  0.8134  277.5s
   27  0.0092  1.3621  1.0456  1.1971  0.7564  -0.1342  -0.1280  0.0583  0.0922  0.2464  0.3579  0.000959  0.000959  0.000959  0.8060  251.8s
   28  0.0081  1.3145  1.0348  1.1403  0.7162  -0.1343  -0.1290  0.0592  0.0769  0.1926  0.3609  0.000956  0.000956  0.000956  0.7985  254.2s
   29  0.0081  1.3455  0.9812  1.1491  0.7647  -0.1342  -0.1300  0.0595  0.0919  0.2355  0.3595  0.000952  0.000952  0.000952  0.7910  231.0s
   30  0.0088  1.4065  1.0217  1.2166  0.8920  -0.1343  -0.1310  0.0608  0.0766  0.1999  0.3501  0.000949  0.000949  0.000949  0.7836  283.9s
   31  0.0096  1.4927  1.0683  1.2884  0.9520  -0.1342  -0.1320  0.0618  0.1033  0.2309  0.3482  0.000946  0.000946  0.000946  0.7761  258.0s
   32  0.0089  1.3705  1.0248  1.2029  0.9146  -0.1342  -0.1330  0.0624  0.0916  0.2691  0.3487  0.000942  0.000942  0.000942  0.7687  267.5s
   33  0.0082  1.3628  0.9906  1.1447  0.8765  -0.1343  -0.1341  0.0626  0.0838  0.2088  0.3496  0.000938  0.000938  0.000938  0.7612  283.0s
   34  0.0073  1.2615  0.9447  1.1485  0.8086  -0.1344  -0.1352  0.0633  0.0684  0.2091  0.3484  0.000934  0.000934  0.000934  0.7537  288.3s
   35  0.0079  1.2785  0.9440  1.1475  0.8528  -0.1343  -0.1362  0.0639  0.0773  0.2175  0.3532  0.000930  0.000930  0.000930  0.7463  251.0s
   36  0.0071  1.2010  0.9033  1.1321  0.7946  -0.1343  -0.1373  0.0642  0.0800  0.1730  0.3472  0.000926  0.000926  0.000926  0.7388  278.8s
   37  0.0066  1.1166  0.8766  1.0736  0.7145  -0.1344  -0.1382  0.0644  0.0596  0.1480  0.3486  0.000922  0.000922  0.000922  0.7313  253.5s
   38  0.0069  1.1557  0.8516  1.0567  0.7484  -0.1344  -0.1392  0.0647  0.0706  0.1764  0.3494  0.000918  0.000918  0.000918  0.7239  241.3s
   39  0.0067  1.1238  0.8228  1.0416  0.7346  -0.1344  -0.1402  0.0651  0.0616  0.1651  0.3492  0.000914  0.000914  0.000914  0.7164  272.5s
   40  0.0072  1.1508  0.8521  1.0754  0.7891  -0.1344  -0.1412  0.0661  0.0698  0.1321  0.3538  0.000909  0.000909  0.000909  0.7090  268.1s
   41  0.0069  1.1497  0.8668  0.9966  0.7343  -0.1344  -0.1421  0.0656  0.0773  0.1357  0.3515  0.000905  0.000905  0.000905  0.7015  283.0s
   42  0.0066  1.1372  0.8666  1.0112  0.7615  -0.1344  -0.1433  0.0674  0.0706  0.1498  0.3589  0.000900  0.000900  0.000900  0.6940  288.4s
   43  0.0065  1.0785  0.8813  0.9344  0.6988  -0.1344  -0.1441  0.0664  0.0693  0.1716  0.3610  0.000895  0.000895  0.000895  0.6866  238.1s
   44  0.0061  1.0430  0.8175  0.9207  0.6767  -0.1344  -0.1452  0.0671  0.0660  0.1111  0.3678  0.000890  0.000890  0.000890  0.6791  289.6s
   45  0.0060  0.9983  0.7892  0.8545  0.6684  -0.1344  -0.1461  0.0670  0.0695  0.1519  0.3678  0.000885  0.000885  0.000885  0.6716  260.6s
   46  0.0053  0.8651  0.6914  0.7571  0.5661  -0.1345  -0.1472  0.0674  0.0526  0.1210  0.3722  0.000880  0.000880  0.000880  0.6642  248.6s
   47  0.0060  0.9310  0.7745  0.8233  0.6408  -0.1344  -0.1480  0.0679  0.0677  0.1222  0.3673  0.000875  0.000875  0.000875  0.6567  279.5s
   48  0.0057  0.8893  0.7299  0.7573  0.6179  -0.1345  -0.1489  0.0682  0.0668  0.1438  0.3709  0.000870  0.000870  0.000870  0.6493  283.9s
   49  0.0049  0.7398  0.6290  0.6472  0.4946  -0.1345  -0.1501  0.0687  0.0546  0.1265  0.3789  0.000864  0.000864  0.000864  0.6418  295.3s
   50  0.0055  0.8338  0.7294  0.7362  0.5708  -0.1344  -0.1509  0.0693  0.0798  0.1827  0.3761  0.000859  0.000859  0.000859  0.6343  276.4s
   51  0.0052  0.8055  0.6480  0.6617  0.5111  -0.1345  -0.1519  0.0691  0.0609  0.1003  0.3779  0.000854  0.000854  0.000854  0.6269  270.0s
   51  0.0052  0.8028  0.6245  0.6744  0.5217  -0.1345  -0.1519  0.0692  0.0595  0.1083  0.3802  0.000854  0.000854  0.000854  0.6269  259.8s
   52  0.0055  0.8153  0.7110  0.6817  0.5787  -0.1344  -0.1529  0.0704  0.0812  0.1387  0.3767  0.000848  0.000848  0.000848  0.6194  265.5s
   53  0.0048  0.7241  0.5603  0.5886  0.4468  -0.1345  -0.1539  0.0702  0.0529  0.1143  0.3868  0.000842  0.000842  0.000842  0.6119  265.7s
   54  0.0045  0.6576  0.5231  0.5183  0.4200  -0.1345  -0.1549  0.0707  0.0542  0.0696  0.3881  0.000837  0.000837  0.000837  0.6045  281.4s
   55  0.0049  0.7178  0.5506  0.5800  0.4503  -0.1346  -0.1558  0.0718  0.0568  0.0799  0.3903  0.000831  0.000831  0.000831  0.5970  257.9s
   56  0.0049  0.7473  0.5772  0.5525  0.4811  -0.1345  -0.1567  0.0721  0.0756  0.0877  0.3857  0.000825  0.000825  0.000825  0.5896  254.2s
   57  0.0053  0.7901  0.5657  0.5720  0.5715  -0.1344  -0.1576  0.0722  0.0741  0.1334  0.3871  0.000819  0.000819  0.000819  0.5821  267.3s
   58  0.0048  0.7348  0.5248  0.5415  0.4985  -0.1344  -0.1586  0.0728  0.0736  0.0938  0.3912  0.000813  0.000813  0.000813  0.5746  264.7s
   59  0.0049  0.7075  0.5423  0.5820  0.4657  -0.1344  -0.1595  0.0731  0.0796  0.1487  0.3895  0.000806  0.000806  0.000806  0.5672  260.5s
   60  0.0050  0.7755  0.5563  0.5915  0.5042  -0.1343  -0.1606  0.0746  0.0878  0.1104  0.3897  0.000800  0.000800  0.000800  0.5597  257.1s
   61  0.0047  0.6680  0.5078  0.5282  0.4065  -0.1344  -0.1616  0.0744  0.0697  0.0810  0.3925  0.000794  0.000794  0.000794  0.5522  258.0s
   62  0.0045  0.5996  0.4321  0.4985  0.4048  -0.1345  -0.1625  0.0745  0.0658  0.1052  0.3960  0.000788  0.000788  0.000788  0.5448  276.8s
   63  0.0051  0.7356  0.5419  0.5487  0.4868  -0.1343  -0.1633  0.0752  0.0835  0.1023  0.3871  0.000781  0.000781  0.000781  0.5373  256.6s
   64  0.0045  0.5975  0.4189  0.4279  0.3985  -0.1344  -0.1644  0.0753  0.0653  0.1151  0.3933  0.000775  0.000775  0.000775  0.5299  264.5s
   65  0.0046  0.6250  0.4312  0.5201  0.4273  -0.1344  -0.1654  0.0761  0.0782  0.1081  0.3929  0.000768  0.000768  0.000768  0.5224  279.3s
   66  0.0047  0.6366  0.4138  0.4555  0.3762  -0.1345  -0.1663  0.0763  0.0699  0.1351  0.3946  0.000761  0.000761  0.000761  0.5149  251.3s
   67  0.0046  0.6045  0.4290  0.4747  0.4335  -0.1344  -0.1672  0.0765  0.0716  0.1025  0.3974  0.000755  0.000755  0.000755  0.5075  243.6s
   68  0.0047  0.6272  0.4161  0.4661  0.4538  -0.1343  -0.1683  0.0781  0.0831  0.1102  0.3945  0.000748  0.000748  0.000748  0.5000  260.1s
   69  0.0044  0.5865  0.3831  0.4306  0.3876  -0.1344  -0.1693  0.0784  0.0734  0.0758  0.3939  0.000741  0.000741  0.000741  0.4925  275.9s
   70  0.0042  0.4827  0.3275  0.3402  0.2887  -0.1345  -0.1702  0.0776  0.0675  0.0738  0.3991  0.000734  0.000734  0.000734  0.4851  250.9s
   71  0.0042  0.5017  0.3411  0.3694  0.2982  -0.1345  -0.1713  0.0791  0.0620  0.0580  0.4015  0.000727  0.000727  0.000727  0.4776  279.1s
   72  0.0044  0.5258  0.3880  0.3985  0.3843  -0.1344  -0.1722  0.0794  0.0719  0.0989  0.3981  0.000720  0.000720  0.000720  0.4701  242.7s
   73  0.0043  0.5178  0.3333  0.3499  0.3665  -0.1344  -0.1732  0.0796  0.0721  0.1109  0.3996  0.000713  0.000713  0.000713  0.4627  248.5s
   74  0.0045  0.5469  0.3571  0.3852  0.4100  -0.1344  -0.1741  0.0801  0.0737  0.0706  0.3975  0.000706  0.000706  0.000706  0.4552  242.0s
   75  0.0041  0.4413  0.3103  0.3296  0.2788  -0.1345  -0.1752  0.0812  0.0591  0.0506  0.3995  0.000699  0.000699  0.000699  0.4478  260.6s
   76  0.0041  0.4070  0.2854  0.3087  0.2624  -0.1345  -0.1762  0.0812  0.0580  0.0613  0.4038  0.000691  0.000691  0.000691  0.4403  273.8s
   77  0.0041  0.3889  0.2416  0.2978  0.2763  -0.1345  -0.1771  0.0806  0.0571  0.0707  0.4041  0.000684  0.000684  0.000684  0.4328  263.5s
   78  0.0042  0.4232  0.2821  0.3536  0.2817  -0.1345  -0.1781  0.0824  0.0572  0.0692  0.4022  0.000677  0.000677  0.000677  0.4254  269.6s
   79  0.0041  0.4332  0.2489  0.2886  0.3158  -0.1344  -0.1791  0.0826  0.0680  0.0594  0.4032  0.000669  0.000669  0.000669  0.4179  254.0s
   80  0.0044  0.4858  0.2893  0.3617  0.3364  -0.1344  -0.1799  0.0824  0.0748  0.1057  0.3988  0.000662  0.000662  0.000662  0.4104  258.6s
   81  0.0044  0.5369  0.3626  0.4032  0.3820  -0.1342  -0.1810  0.0845  0.0830  0.0723  0.3946  0.000655  0.000655  0.000655  0.4030  269.2s
   82  0.0041  0.3169  0.2407  0.2691  0.2216  -0.1346  -0.1820  0.0834  0.0498  0.0447  0.4087  0.000647  0.000647  0.000647  0.3955  271.1s
   83  0.0041  0.4041  0.2541  0.2789  0.2715  -0.1345  -0.1830  0.0840  0.0664  0.0643  0.4033  0.000639  0.000639  0.000639  0.3881  242.2s
   84  0.0042  0.4386  0.2863  0.3318  0.3066  -0.1344  -0.1840  0.0849  0.0618  0.0628  0.4035  0.000632  0.000632  0.000632  0.3806  265.9s
   85  0.0041  0.3797  0.2534  0.3133  0.2779  -0.1345  -0.1850  0.0859  0.0647  0.0700  0.4017  0.000624  0.000624  0.000624  0.3731  271.6s
   86  0.0041  0.3604  0.2272  0.2726  0.2688  -0.1344  -0.1859  0.0850  0.0603  0.0673  0.4047  0.000617  0.000617  0.000617  0.3657  265.7s
   87  0.0040  0.3227  0.1820  0.2410  0.2288  -0.1345  -0.1870  0.0860  0.0532  0.0547  0.4061  0.000609  0.000609  0.000609  0.3582  248.0s
   88  0.0040  0.3725  0.2160  0.2574  0.2713  -0.1344  -0.1879  0.0861  0.0627  0.0784  0.4038  0.000601  0.000601  0.000601  0.3507  239.2s
   89  0.0039  0.2365  0.1497  0.2066  0.1844  -0.1347  -0.1891  0.0874  0.0393  0.0444  0.4081  0.000594  0.000594  0.000594  0.3433  274.3s
   90  0.0042  0.4543  0.2449  0.3191  0.3192  -0.1344  -0.1898  0.0872  0.0695  0.1096  0.4008  0.000586  0.000586  0.000586  0.3358  282.2s
   91  0.0041  0.3452  0.2102  0.2827  0.2593  -0.1345  -0.1909  0.0876  0.0622  0.0774  0.4049  0.000578  0.000578  0.000578  0.3284  269.6s
   92  0.0039  0.2630  0.1469  0.2013  0.1686  -0.1346  -0.1920  0.0882  0.0461  0.0517  0.4056  0.000570  0.000570  0.000570  0.3209  262.3s
   93  0.0040  0.2573  0.1748  0.2169  0.2234  -0.1346  -0.1930  0.0886  0.0462  0.0499  0.4070  0.000563  0.000563  0.000563  0.3134  246.7s
   94  0.0041  0.3604  0.2062  0.2805  0.2886  -0.1345  -0.1940  0.0900  0.0671  0.0784  0.4071  0.000555  0.000555  0.000555  0.3060  277.8s
   95  0.0039  0.2573  0.1437  0.1944  0.1778  -0.1347  -0.1949  0.0886  0.0423  0.0612  0.4137  0.000547  0.000547  0.000547  0.2985  255.4s
   96  0.0040  0.3443  0.1730  0.2370  0.2424  -0.1346  -0.1960  0.0904  0.0558  0.0675  0.4071  0.000539  0.000539  0.000539  0.2910  269.8s
   97  0.0039  0.2892  0.1553  0.2298  0.2290  -0.1346  -0.1970  0.0910  0.0502  0.0629  0.4072  0.000531  0.000531  0.000531  0.2836  264.7s
   98  0.0039  0.2728  0.1684  0.1986  0.1840  -0.1346  -0.1980  0.0911  0.0544  0.0391  0.4080  0.000524  0.000524  0.000524  0.2761  255.7s
   99  0.0040  0.3367  0.2150  0.2468  0.2693  -0.1345  -0.1989  0.0915  0.0621  0.0624  0.4035  0.000516  0.000516  0.000516  0.2687  263.2s
  100  0.0038  0.2129  0.1332  0.1929  0.1547  -0.1346  -0.1999  0.0911  0.0453  0.0389  0.4091  0.000508  0.000508  0.000508  0.2612  259.3s
  101  0.0039  0.2549  0.1455  0.2085  0.1715  -0.1346  -0.2011  0.0928  0.0440  0.0391  0.4067  0.000500  0.000500  0.000500  0.2537  251.3s
  102  0.0038  0.2016  0.1162  0.1531  0.1234  -0.1347  -0.2020  0.0922  0.0396  0.0446  0.4077  0.000492  0.000492  0.000492  0.2463  258.7s
  103  0.0039  0.3010  0.1662  0.2161  0.1971  -0.1345  -0.2029  0.0929  0.0567  0.0581  0.4030  0.000484  0.000484  0.000484  0.2388  275.6s
  104  0.0038  0.2027  0.1209  0.1450  0.1431  -0.1347  -0.2041  0.0940  0.0336  0.0425  0.4089  0.000476  0.000476  0.000476  0.2313  256.0s
  105  0.0039  0.2648  0.1762  0.1697  0.1654  -0.1346  -0.2050  0.0946  0.0515  0.0509  0.4051  0.000469  0.000469  0.000469  0.2239  255.7s
  106  0.0040  0.2751  0.1862  0.2583  0.2161  -0.1345  -0.2059  0.0946  0.0590  0.1282  0.4049  0.000461  0.000461  0.000461  0.2164  242.2s
  107  0.0038  0.2189  0.1556  0.1568  0.1633  -0.1347  -0.2071  0.0952  0.0462  0.0637  0.4090  0.000453  0.000453  0.000453  0.2090  281.3s
  108  0.0039  0.2657  0.1717  0.1991  0.1799  -0.1346  -0.2078  0.0945  0.0582  0.0556  0.4043  0.000445  0.000445  0.000445  0.2015  295.4s
  109  0.0038  0.2512  0.1427  0.1749  0.1703  -0.1346  -0.2091  0.0961  0.0472  0.0354  0.4040  0.000437  0.000437  0.000437  0.1940  276.0s
  110  0.0038  0.2013  0.0987  0.1426  0.1583  -0.1347  -0.2101  0.0963  0.0385  0.0344  0.4116  0.000430  0.000430  0.000430  0.1866  265.7s
  111  0.0037  0.1896  0.1091  0.1565  0.1169  -0.1347  -0.2111  0.0967  0.0433  0.0409  0.4100  0.000422  0.000422  0.000422  0.1791  257.9s
  112  0.0038  0.2401  0.1356  0.1780  0.1757  -0.1346  -0.2121  0.0971  0.0460  0.0461  0.4052  0.000414  0.000414  0.000414  0.1716  256.5s
  113  0.0038  0.1824  0.1211  0.1636  0.1171  -0.1348  -0.2133  0.0986  0.0373  0.0372  0.4098  0.000406  0.000406  0.000406  0.1642  268.3s
  114  0.0038  0.2254  0.1286  0.1627  0.1560  -0.1347  -0.2141  0.0979  0.0453  0.0452  0.4054  0.000399  0.000399  0.000399  0.1567  245.4s
  115  0.0038  0.2438  0.1536  0.1731  0.1570  -0.1346  -0.2152  0.0993  0.0471  0.0465  0.4041  0.000391  0.000391  0.000391  0.1493  246.9s
  116  0.0037  0.1892  0.1217  0.1426  0.1194  -0.1346  -0.2162  0.0988  0.0470  0.0446  0.4062  0.000383  0.000383  0.000383  0.1418  253.2s
