epoch  recon    ltr      case     attn     div      hit    recode   lr
--------------------------------------------------------------------------------
    1  0.0222  2.8253  0.6736  -0.1556  0.1785  0.4028  0.0236  0.001000
    2  0.0176  1.5505  0.6250  -0.1581  0.1735  0.3827  0.0178  0.001000
    3  0.0167  0.9688  0.5607  -0.1574  0.1702  0.3947  0.0168  0.000999
    4  0.0161  0.7089  0.4658  -0.1572  0.1630  0.4047  0.0161  0.000998
    5  0.0157  0.5413  0.3605  -0.1570  0.1561  0.4152  0.0155  0.000996
    6  0.0154  0.4618  0.2684  -0.1565  0.1499  0.4162  0.0151  0.000994
    7  0.0151  0.3864  0.2109  -0.1561  0.1447  0.4163  0.0146  0.000991
    8  0.0148  0.3626  0.2083  -0.1565  0.1455  0.4182  0.0143  0.000988
    9  0.0143  0.2719  0.1607  -0.1563  0.1425  0.4179  0.0137  0.000984
   10  0.0141  0.2887  0.1648  -0.1563  0.1418  0.4083  0.0134  0.000980
   11  0.0137  0.2403  0.1682  -0.1561  0.1393  0.4148  0.0129  0.000976
   12  0.0133  0.2298  0.1362  -0.1556  0.1358  0.4199  0.0125  0.000970
   13  0.0126  0.2066  0.1255  -0.1561  0.1370  0.4177  0.0116  0.000965
   14  0.0107  0.1603  0.1194  -0.1557  0.1322  0.4198  0.0097  0.000959
   15  0.0102  0.1381  0.0983  -0.1557  0.1294  0.4293  0.0090  0.000952
   16  0.0101  0.1560  0.0967  -0.1553  0.1279  0.4181  0.0089  0.000946
   17  0.0099  0.1539  0.0892  -0.1548  0.1230  0.4114  0.0087  0.000938
   18  0.0098  0.1165  0.0788  -0.1548  0.1227  0.4156  0.0084  0.000930
   19  0.0095  0.1209  0.0754  -0.1557  0.1284  0.4203  0.0081  0.000922
   20  0.0093  0.0851  0.0553  -0.1550  0.1235  0.4211  0.0077  0.000914
   21  0.0093  0.0859  0.0532  -0.1546  0.1208  0.4200  0.0076  0.000905
   22  0.0095  0.1042  0.0717  -0.1548  0.1229  0.4256  0.0078  0.000895
   23  0.0091  0.0934  0.0649  -0.1541  0.1161  0.4285  0.0074  0.000885
   24  0.0089  0.0691  0.0576  -0.1549  0.1200  0.4245  0.0072  0.000875
   25  0.0088  0.0889  0.0469  -0.1549  0.1171  0.4163  0.0071  0.000864
