epoch  recon    ltr      case     attn     div      hit    recode  content   lr         time
---------------------------------------------------------------------------------------------------
    1  0.0257  2.8360  0.6563  -1.8350  0.1605  0.3160  0.0283  0.2555  0.001000  54.4s
    2  0.0174  1.7774  0.4407  -1.8304  0.1347  0.3193  0.0182  0.1664  0.001000  53.7s
    3  0.0164  1.2790  0.3073  -1.8198  0.1272  0.3348  0.0171  0.1525  0.000999  53.2s
    4  0.0154  0.9315  0.2411  -1.8194  0.1283  0.3354  0.0159  0.1420  0.000998  51.5s
    5  0.0149  0.7133  0.1656  -1.8150  0.1251  0.3327  0.0151  0.1308  0.000996  53.1s
    6  0.0140  0.5324  0.1332  -1.8140  0.1230  0.3437  0.0139  0.1115  0.000994  53.0s
    7  0.0139  0.5187  0.1537  -1.8143  0.1232  0.3473  0.0137  0.1231  0.000991  51.7s
    8  0.0135  0.3323  0.1195  -1.8169  0.1238  0.3569  0.0132  0.1073  0.000988  52.9s
    9  0.0129  0.2573  0.1038  -1.8091  0.1143  0.3371  0.0122  0.1157  0.000984  52.8s
   10  0.0126  0.2321  0.1005  -1.8098  0.1134  0.3421  0.0118  0.1185  0.000980  51.5s
   11  0.0123  0.1591  0.0727  -1.8138  0.1149  0.3507  0.0113  0.0966  0.000976  53.0s
   12  0.0119  0.1364  0.0707  -1.8123  0.1120  0.3615  0.0106  0.0831  0.000970  52.8s
   13  0.0118  0.1307  0.0610  -1.8125  0.1098  0.3579  0.0104  0.0837  0.000965  51.3s
   14  0.0114  0.1331  0.0695  -1.8092  0.1069  0.3616  0.0100  0.0784  0.000959  52.9s
   15  0.0112  0.1376  0.0693  -1.8136  0.1085  0.3567  0.0098  0.0637  0.000952  53.0s
   16  0.0111  0.0940  0.0477  -1.8173  0.1088  0.3649  0.0095  0.0544  0.000946  51.3s
   17  0.0106  0.0841  0.0530  -1.8125  0.1052  0.3548  0.0090  0.0610  0.000938  52.8s
   18  0.0105  0.0877  0.0665  -1.8122  0.1024  0.3471  0.0090  0.0676  0.000930  52.9s
   19  0.0104  0.0973  0.0530  -1.8126  0.0991  0.3510  0.0088  0.0613  0.000922  51.5s
   20  0.0101  0.0685  0.0462  -1.8170  0.1007  0.3647  0.0085  0.0479  0.000914  53.1s
   21  0.0096  0.0544  0.0406  -1.8204  0.1009  0.3650  0.0080  0.0453  0.000905  52.8s
   22  0.0096  0.0716  0.0382  -1.8137  0.0956  0.3580  0.0081  0.0411  0.000895  51.2s
   23  0.0093  0.0589  0.0335  -1.8192  0.0974  0.3635  0.0077  0.0423  0.000885  52.8s
   24  0.0092  0.0602  0.0450  -1.8182  0.0946  0.3669  0.0076  0.0471  0.000875  52.9s
   25  0.0091  0.0578  0.0323  -1.8147  0.0893  0.3621  0.0074  0.0355  0.000864  51.6s
   26  0.0091  0.0663  0.0326  -1.8181  0.0986  0.3565  0.0075  0.0638  0.000854  53.0s
   27  0.0089  0.0546  0.0373  -1.8205  0.0939  0.3677  0.0072  0.0525  0.000842  53.1s
   28  0.0087  0.0470  0.0292  -1.8198  0.0929  0.3688  0.0070  0.0445  0.000831  51.3s
   29  0.0085  0.0357  0.0219  -1.8190  0.0879  0.3746  0.0067  0.0411  0.000819  52.8s
   30  0.0081  0.0334  0.0227  -1.8233  0.0903  0.3714  0.0064  0.0360  0.000806  51.4s
   31  0.0085  0.0482  0.0250  -1.8197  0.0874  0.3687  0.0068  0.0517  0.000794  52.8s
   32  0.0079  0.0185  0.0130  -1.8235  0.0864  0.3666  0.0061  0.0283  0.000781  52.9s
   33  0.0080  0.0278  0.0141  -1.8234  0.0872  0.3716  0.0063  0.0244  0.000768  51.5s
   34  0.0076  0.0214  0.0134  -1.8252  0.0867  0.3738  0.0058  0.0356  0.000755  53.5s
   35  0.0077  0.0211  0.0132  -1.8253  0.0872  0.3722  0.0058  0.0472  0.000741  53.4s
   36  0.0078  0.0312  0.0151  -1.8268  0.0885  0.3757  0.0059  0.0349  0.000727  53.4s
   37  0.0076  0.0292  0.0106  -1.8257  0.0870  0.3706  0.0057  0.0399  0.000713  51.6s
   38  0.0077  0.0322  0.0166  -1.8258  0.0882  0.3714  0.0058  0.0471  0.000699  53.4s
   39  0.0071  0.0238  0.0075  -1.8275  0.0848  0.3737  0.0053  0.0407  0.000684  53.7s
   40  0.0066  0.0063  0.0023  -1.8303  0.0846  0.3841  0.0046  0.0207  0.000669  52.0s
   41  0.0067  0.0093  0.0019  -1.8306  0.0832  0.3762  0.0047  0.0259  0.000655  53.4s
   42  0.0065  0.0061  0.0058  -1.8326  0.0842  0.3778  0.0045  0.0198  0.000639  53.7s
   43  0.0059  0.0036  0.0021  -1.8343  0.0815  0.3728  0.0037  0.0192  0.000624  52.2s
   44  0.0059  0.0017  0.0008  -1.8368  0.0835  0.3759  0.0037  0.0151  0.000609  53.7s
   45  0.0053  0.0001  0.0001  -1.8384  0.0818  0.3720  0.0027  0.0077  0.000594  53.8s
   46  0.0052  0.0016  0.0000  -1.8389  0.0813  0.3726  0.0026  0.0080  0.000578  51.8s
   47  0.0070  0.0313  0.0233  -1.8310  0.0840  0.3721  0.0047  0.0451  0.000563  53.4s
   48  0.0082  0.0373  0.0237  -1.8230  0.0879  0.3711  0.0064  0.0695  0.000547  53.9s
   49  0.0063  0.0076  0.0047  -1.8333  0.0840  0.3661  0.0041  0.0320  0.000531  52.2s
   50  0.0054  0.0034  0.0015  -1.8362  0.0813  0.3729  0.0030  0.0190  0.000516  53.8s
   51  0.0065  0.0136  0.0109  -1.8357  0.0865  0.3781  0.0043  0.0286  0.000500  52.8s
   52  0.0050  0.0001  0.0000  -1.8393  0.0815  0.3768  0.0022  0.0067  0.000484  51.2s
   53  0.0048  0.0011  0.0000  -1.8394  0.0802  0.3764  0.0019  0.0128  0.000469  52.8s
   54  0.0047  0.0002  0.0003  -1.8397  0.0798  0.3784  0.0018  0.0052  0.000453  52.9s
   55  0.0045  0.0001  0.0000  -1.8405  0.0795  0.3787  0.0014  0.0033  0.000437  51.4s
   56  0.0046  0.0020  0.0001  -1.8400  0.0789  0.3801  0.0015  0.0032  0.000422  53.0s
   57  0.0084  0.0602  0.0249  -1.8204  0.0842  0.3726  0.0070  0.0788  0.000406  53.0s
   58  0.0056  0.0055  0.0015  -1.8353  0.0807  0.3825  0.0031  0.0087  0.000391  51.7s
   59  0.0046  0.0002  0.0000  -1.8396  0.0797  0.3766  0.0016  0.0032  0.000376  53.0s
   60  0.0045  0.0005  0.0000  -1.8401  0.0792  0.3786  0.0015  0.0049  0.000361  52.9s
   61  0.0044  0.0000  0.0000  -1.8409  0.0791  0.3808  0.0012  0.0043  0.000345  51.3s
   62  0.0043  0.0000  0.0000  -1.8412  0.0788  0.3821  0.0010  0.0038  0.000331  52.9s
   63  0.0043  0.0000  0.0000  -1.8410  0.0783  0.3828  0.0010  0.0046  0.000316  52.8s
   64  0.0042  0.0000  0.0000  -1.8416  0.0784  0.3828  0.0009  0.0047  0.000301  51.3s
   65  0.0042  0.0000  0.0000  -1.8416  0.0782  0.3836  0.0009  0.0049  0.000287  52.7s
   66  0.0042  0.0000  0.0000  -1.8415  0.0779  0.3828  0.0010  0.0087  0.000273  52.5s
   67  0.0042  0.0000  0.0000  -1.8417  0.0778  0.3832  0.0009  0.0052  0.000259  51.1s
   68  0.0063  0.0187  0.0149  -1.8356  0.0806  0.3858  0.0041  0.0229  0.000245  52.7s
   69  0.0044  0.0000  0.0000  -1.8400  0.0779  0.3844  0.0013  0.0050  0.000232  52.8s
   70  0.0042  0.0000  0.0000  -1.8417  0.0780  0.3836  0.0008  0.0039  0.000219  51.2s
   71  0.0041  0.0000  0.0000  -1.8420  0.0779  0.3828  0.0007  0.0040  0.000206  53.0s
   72  0.0041  0.0000  0.0000  -1.8422  0.0777  0.3823  0.0007  0.0037  0.000194  52.9s
   73  0.0040  0.0000  0.0000  -1.8422  0.0775  0.3822  0.0007  0.0035  0.000181  51.1s
   74  0.0040  0.0001  0.0000  -1.8423  0.0774  0.3821  0.0007  0.0052  0.000169  52.8s
   75  0.0047  0.0030  0.0010  -1.8409  0.0776  0.3793  0.0017  0.0105  0.000158  52.7s
   76  0.0040  0.0000  0.0000  -1.8424  0.0774  0.3836  0.0006  0.0033  0.000146  51.2s
   77  0.0040  0.0000  0.0000  -1.8425  0.0772  0.3842  0.0006  0.0025  0.000136  52.8s
   78  0.0040  0.0001  0.0000  -1.8425  0.0771  0.3839  0.0006  0.0019  0.000125  52.8s
   79  0.0040  0.0000  0.0000  -1.8426  0.0770  0.3833  0.0006  0.0018  0.000115  51.2s
   80  0.0040  0.0000  0.0000  -1.8428  0.0770  0.3830  0.0005  0.0019  0.000105  52.9s
   81  0.0039  0.0000  0.0000  -1.8428  0.0769  0.3832  0.0005  0.0020  0.000095  52.7s
   82  0.0040  0.0000  0.0000  -1.8428  0.0767  0.3827  0.0005  0.0020  0.000086  51.3s
   83  0.0040  0.0000  0.0000  -1.8427  0.0766  0.3825  0.0005  0.0017  0.000078  53.0s
   84  0.0039  0.0000  0.0000  -1.8430  0.0767  0.3822  0.0005  0.0014  0.000070  52.8s
   85  0.0039  0.0000  0.0000  -1.8430  0.0766  0.3824  0.0005  0.0016  0.000062  51.3s
   86  0.0039  0.0000  0.0000  -1.8430  0.0765  0.3824  0.0005  0.0015  0.000054  52.9s
   87  0.0039  0.0000  0.0000  -1.8429  0.0763  0.3828  0.0005  0.0014  0.000048  51.4s
   88  0.0039  0.0000  0.0000  -1.8430  0.0764  0.3827  0.0005  0.0010  0.000041  52.9s
   89  0.0039  0.0000  0.0000  -1.8432  0.0764  0.3825  0.0004  0.0014  0.000035  52.9s
   90  0.0039  0.0000  0.0000  -1.8432  0.0764  0.3826  0.0004  0.0014  0.000030  51.4s
   91  0.0039  0.0000  0.0000  -1.8432  0.0763  0.3825  0.0004  0.0011  0.000024  53.3s
   92  0.0039  0.0000  0.0000  -1.8433  0.0763  0.3830  0.0004  0.0014  0.000020  53.1s
   93  0.0039  0.0000  0.0000  -1.8433  0.0763  0.3824  0.0004  0.0012  0.000016  51.8s
   94  0.0039  0.0000  0.0000  -1.8433  0.0763  0.3826  0.0004  0.0013  0.000012  52.9s
   95  0.0039  0.0000  0.0000  -1.8433  0.0763  0.3828  0.0004  0.0011  0.000009  52.9s
   96  0.0039  0.0000  0.0000  -1.8433  0.0762  0.3831  0.0004  0.0009  0.000006  51.2s
   97  0.0039  0.0000  0.0000  -1.8433  0.0763  0.3830  0.0004  0.0009  0.000004  53.2s
   98  0.0039  0.0000  0.0000  -1.8434  0.0763  0.3832  0.0004  0.0011  0.000002  53.3s
   99  0.0039  0.0000  0.0000  -1.8433  0.0762  0.3831  0.0004  0.0010  0.000001  51.7s
  100  0.0039  0.0000  0.0000  -1.8433  0.0762  0.3830  0.0004  0.0011  0.000000  53.1s
