epoch,mse,err_x,lr,noise_x,noise_y
1,0.00017873,0.01070842,0.00100000,0.02000000,0.01000000
2,0.00017331,0.01135228,0.00099976,0.02266667,0.01116667
3,0.00021536,0.01265582,0.00099902,0.02533333,0.01233333
4,0.00025869,0.01384166,0.00099780,0.02800000,0.01350000
5,0.00028915,0.01452486,0.00099610,0.03066667,0.01466667
6,0.00037453,0.01674964,0.00099391,0.03333333,0.01583333
7,0.00033712,0.01523914,0.00099123,0.03600000,0.01700000
8,0.00013059,0.00873408,0.00098808,0.03866667,0.01816667
9,0.00001079,0.00230154,0.00098445,0.04133333,0.01933333
10,0.00000488,0.00155463,0.00098035,0.04400000,0.02050000
11,0.00001611,0.00233523,0.00097577,0.04666667,0.02166667
12,0.00001101,0.00185027,0.00097074,0.04933333,0.02283333
13,0.00000427,0.00120009,0.00096524,0.05200000,0.02400000
14,0.00005331,0.00360070,0.00095929,0.05466667,0.02516667
15,0.00000298,0.00109764,0.00095289,0.05733333,0.02633333
16,0.00000376,0.00125586,0.00094605,0.06000000,0.02750000
17,0.00000940,0.00196994,0.00093877,0.06266667,0.02866667
18,0.00001082,0.00190434,0.00093107,0.06533333,0.02983333
19,0.00001860,0.00228983,0.00092294,0.06800000,0.03100000
20,0.00000106,0.00072361,0.00091440,0.07066667,0.03216667
21,0.00001168,0.00217413,0.00090546,0.07333333,0.03333333
22,0.00000718,0.00170479,0.00089613,0.07600000,0.03450000
23,0.00001423,0.00230633,0.00088640,0.07866667,0.03566667
24,0.00000984,0.00182987,0.00087630,0.08133333,0.03683333
25,0.00001658,0.00269946,0.00086584,0.08400000,0.03800000
26,0.00000630,0.00156013,0.00085502,0.08666667,0.03916667
27,0.00001444,0.00256539,0.00084385,0.08933333,0.04033333
28,0.00000916,0.00213918,0.00083235,0.09200000,0.04150000
29,0.00001758,0.00256221,0.00082052,0.09466667,0.04266667
30,0.00001060,0.00219135,0.00080839,0.09733333,0.04383333
31,0.00000638,0.00183629,0.00079595,0.10000000,0.04500000
32,0.00003130,0.00323009,0.00078323,0.10266667,0.04616667
33,0.00001028,0.00223987,0.00077023,0.10533333,0.04733333
34,0.00000488,0.00152949,0.00075698,0.10800000,0.04850000
35,0.00000764,0.00202369,0.00074347,0.11066667,0.04966667
36,0.00000889,0.00208668,0.00072973,0.11333333,0.05083333
37,0.00001061,0.00238024,0.00071576,0.11600000,0.05200000
38,0.00000987,0.00220270,0.00070159,0.11866667,0.05316667
39,0.00002847,0.00334162,0.00068722,0.12133333,0.05433333
40,0.00000506,0.00158965,0.00067268,0.12400000,0.05550000
41,0.00000926,0.00212712,0.00065796,0.12666667,0.05666667
42,0.00001160,0.00240087,0.00064310,0.12933333,0.05783333
43,0.00002403,0.00318767,0.00062810,0.13200000,0.05900000
44,0.00000620,0.00179512,0.00061298,0.13466667,0.06016667
45,0.00000746,0.00195678,0.00059775,0.13733333,0.06133333
46,0.00000961,0.00212326,0.00058244,0.14000000,0.06250000
47,0.00000981,0.00221978,0.00056704,0.14266667,0.06366667
